record_index,rom_offset,end_exclusive,length,region,prg_bank,rle,final_changed_bytes,classification,confidence
0,0x00006,0x00007,1,header,,False,1,header,high
1,0x05288,0x052C7,63,PRG,1,False,27,renderer_support,medium
2,0x0561B,0x056B0,149,PRG,1,False,135,name_table,medium
3,0x056BC,0x05D54,1688,PRG,1,False,1470,prepointer_text,medium
4,0x05DD4,0x07767,6547,PRG,1,False,6208,dialogue_pointer_table+pointer_driven_text,high
5,0x07894,0x078AB,23,PRG,1,False,20,growth_ui,medium
6,0x07FB6,0x07FED,55,PRG,1,False,52,menu_or_label,medium
7,0x07FF7,0x0800F,24,PRG,1,False,22,menu_or_label,medium
8,0x0FC31,0x0FC36,5,PRG,3,False,5,other_prg,low
9,0x136B8,0x136C5,13,PRG,4,False,10,other_prg,low
10,0x136DA,0x136FE,36,PRG,4,False,27,other_prg,low
11,0x1372B,0x13854,297,PRG,4,False,250,other_prg,low
12,0x138A7,0x138AF,8,PRG,4,False,8,other_prg,low
13,0x138BB,0x1390F,84,PRG,4,False,80,other_prg,low
14,0x1392B,0x13ACD,418,PRG,4,False,305,other_prg,low
15,0x13AE2,0x13B33,81,PRG,4,False,66,other_prg,low
16,0x13CA2,0x13CB9,23,PRG,4,False,16,other_prg,low
17,0x13CDF,0x13D66,135,PRG,4,False,128,other_prg,low
18,0x13D78,0x13D85,13,PRG,4,False,11,other_prg,low
19,0x13DB4,0x13E30,124,PRG,4,False,110,other_prg,low
20,0x13E6D,0x13E6F,2,PRG,4,False,2,other_prg,low
21,0x1A2EF,0x1A2F3,4,PRG,6,False,4,other_prg,low
22,0x1A778,0x1A85E,230,PRG,6,False,198,other_prg,low
23,0x1BB2C,0x1BB33,7,PRG,6,False,7,other_prg,low
24,0x1BB45,0x1BB51,12,PRG,6,False,11,other_prg,low
25,0x1BB84,0x1BB85,1,PRG,6,False,1,other_prg,low
26,0x1C841,0x1C8D0,143,PRG,7,False,74,other_prg,low
27,0x1C8DB,0x1CD2B,1104,PRG,7,False,1001,other_prg,low
28,0x1DF2B,0x1DF34,9,PRG,7,False,2,other_prg,low
29,0x1DFE7,0x1DFE8,1,PRG,7,False,1,other_prg,low
30,0x1DFF3,0x1DFF4,1,PRG,7,False,1,other_prg,low
31,0x1F2E3,0x1F2FE,27,PRG,7,False,23,other_prg,low
32,0x1F323,0x1F33E,27,PRG,7,False,20,other_prg,low
33,0x22340,0x22348,8,CHR,1,False,8,font_or_tiles,high
34,0x24038,0x24052,26,CHR,2,False,16,font_or_tiles,high
35,0x24088,0x240AF,39,CHR,2,False,20,font_or_tiles,high
36,0x24158,0x2415F,7,CHR,2,False,7,font_or_tiles,high
37,0x2416A,0x241D0,102,CHR,2,False,49,font_or_tiles,high
38,0x24218,0x24230,24,CHR,2,False,23,font_or_tiles,high
39,0x24270,0x24277,7,CHR,2,False,6,font_or_tiles,high
40,0x242A8,0x242BF,23,CHR,2,False,14,font_or_tiles,high
41,0x24338,0x2435F,39,CHR,2,False,21,font_or_tiles,high
42,0x24380,0x24397,23,CHR,2,False,14,font_or_tiles,high
43,0x243A8,0x243AF,7,CHR,2,False,7,font_or_tiles,high
44,0x243C8,0x243CF,7,CHR,2,False,7,font_or_tiles,high
45,0x24478,0x244A0,40,CHR,2,False,24,font_or_tiles,high
46,0x244B8,0x244CF,23,CHR,2,False,15,font_or_tiles,high
47,0x24570,0x24597,39,CHR,2,False,21,font_or_tiles,high
48,0x245E0,0x245E7,7,CHR,2,False,7,font_or_tiles,high
49,0x24690,0x246AF,31,CHR,2,False,18,font_or_tiles,high
50,0x246C0,0x246CF,15,CHR,2,False,12,font_or_tiles,high
51,0x2F028,0x2F0FF,215,CHR,7,False,98,font_or_tiles,high
52,0x2F109,0x2F1DF,214,CHR,7,False,96,font_or_tiles,high
53,0x2F1E9,0x2F1EE,5,CHR,7,False,5,font_or_tiles,high
54,0x2F1F8,0x2F30F,279,CHR,7,False,208,font_or_tiles,high
55,0x2F31A,0x2F31F,5,CHR,7,False,5,font_or_tiles,high
56,0x2F32A,0x2F38F,101,CHR,7,False,46,font_or_tiles,high
57,0x2F39D,0x2F39F,2,CHR,7,False,2,font_or_tiles,high
58,0x2F3AB,0x2F3AF,4,CHR,7,False,4,font_or_tiles,high
59,0x2F519,0x2F51E,5,CHR,7,False,5,font_or_tiles,high
60,0x2F528,0x2F5AF,135,CHR,7,False,63,font_or_tiles,high
61,0x2F5D8,0x2F5DF,7,CHR,7,False,6,font_or_tiles,high
