record_id	record_kind	source_language	context	pointer_index	pointer_rom_offset	jp_pointer_cpu	en_pointer_cpu	jp_rom_offset	en_rom_offset	jp_window_end	en_window_end	jp_first_ff_end	en_first_ff_end	jp_raw_bytes	en_raw_bytes	jp_text	en_text	target_scope	target_references	structural_confidence	notes
JP-NAME-000	ff_delimited	japanese	Bank 1 name-table area					0x0561B		0x05620		0x05620		88 96 9F 8B FF		<88><96><9F><8B><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-001	ff_delimited	japanese	Bank 1 name-table area					0x05620		0x0562A		0x0562A		A8 87 0A AB 83 1C AE 0F 83 FF		<A8><87><0A><AB><83><1C><AE><0F><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-002	ff_delimited	japanese	Bank 1 name-table area					0x0562A		0x05634		0x05634		0C B6 83 87 91 90 92 82 91 FF		<0C><B6><83><87><91><90><92><82><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-003	ff_delimited	japanese	Bank 1 name-table area					0x05634		0x05638		0x05638		90 92 0C FF		<90><92><0C><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-004	ff_delimited	japanese	Bank 1 name-table area					0x05638		0x05639		0x05639		FF		<FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-005	ff_delimited	japanese	Bank 1 name-table area					0x05639		0x0563E		0x0563E		A4 0A AB 83 FF		<A4><0A><AB><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-006	ff_delimited	japanese	Bank 1 name-table area					0x0563E		0x05643		0x05643		0C AE AB 88 FF		<0C><AE><AB><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-007	ff_delimited	japanese	Bank 1 name-table area					0x05643		0x05648		0x05648		9D 82 8C 91 FF		<9D><82><8C><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-008	ff_delimited	japanese	Bank 1 name-table area					0x05648		0x0564D		0x0564D		87 AE 8D 89 FF		<87><AE><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-009	ff_delimited	japanese	Bank 1 name-table area					0x0564D		0x05652		0x05652		90 A2 87 91 FF		<90><A2><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
