frame	label	category	rom_hit	cpu_addr	value	record_cpu_range	expected_bytes	context	active_expected_match	record_snapshot
324	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
324	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
324	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
324	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
324	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
324	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
324	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
324	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
324	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
334	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
334	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
334	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
334	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
334	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
334	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
334	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
334	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
334	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
354	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
354	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
354	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
354	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
354	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
354	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
354	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
354	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
354	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
364	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
364	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
364	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
364	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
364	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
364	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
364	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
364	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
364	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
384	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
384	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
384	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
384	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
384	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
384	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
384	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
384	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
384	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
404	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
404	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
404	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E6	88	$88E4-$88E6	07 09 03	20 F7 88 C8 B9 C1 07 30	false	20 F7 88
404	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E4	20	$88E4-$88E6	07 09 03	A5 00 20 F7 88 C8 B9 C1	false	20 F7 88
404	broad_048f4_tatsuji	보스	ROM+0x048F4	$88E5	F7	$88E4-$88E6	07 09 03	00 20 F7 88 C8 B9 C1 07	false	20 F7 88
