frame	type	cpu_addr	value	tracked_ppu_addr
4	PPUADDR	2006	10	0000
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
4	PPUADDR	2006	10	1010
6	PPUADDR	2006	20	1010
6	PPUADDR	2006	00	2000
6	PPUDATA	2007	00	2000
6	PPUDATA	2007	00	2001
6	PPUDATA	2007	00	2002
6	PPUDATA	2007	00	2003
6	PPUDATA	2007	00	2004
6	PPUDATA	2007	00	2005
6	PPUDATA	2007	00	2006
6	PPUDATA	2007	00	2007
6	PPUDATA	2007	00	2008
6	PPUDATA	2007	00	2009
6	PPUDATA	2007	00	200A
6	PPUDATA	2007	00	200B
6	PPUDATA	2007	00	200C
6	PPUDATA	2007	00	200D
6	PPUDATA	2007	00	200E
6	PPUDATA	2007	00	200F
6	PPUDATA	2007	00	2010
6	PPUDATA	2007	00	2011
6	PPUDATA	2007	00	2012
6	PPUDATA	2007	00	2013
6	PPUDATA	2007	00	2014
6	PPUDATA	2007	00	2015
6	PPUDATA	2007	00	2016
6	PPUDATA	2007	00	2017
6	PPUDATA	2007	00	2018
6	PPUDATA	2007	00	2019
6	PPUDATA	2007	00	201A
6	PPUDATA	2007	00	201B
6	PPUDATA	2007	00	201C
6	PPUDATA	2007	00	201D
6	PPUDATA	2007	00	201E
6	PPUDATA	2007	00	201F
6	PPUDATA	2007	00	2020
6	PPUDATA	2007	00	2021
6	PPUDATA	2007	00	2022
6	PPUDATA	2007	00	2023
6	PPUDATA	2007	00	2024
6	PPUDATA	2007	00	2025
6	PPUDATA	2007	00	2026
6	PPUDATA	2007	00	2027
6	PPUDATA	2007	00	2028
6	PPUDATA	2007	00	2029
6	PPUDATA	2007	00	202A
6	PPUDATA	2007	00	202B
6	PPUDATA	2007	00	202C
6	PPUDATA	2007	00	202D
6	PPUDATA	2007	00	202E
6	PPUDATA	2007	00	202F
6	PPUDATA	2007	00	2030
6	PPUDATA	2007	00	2031
6	PPUDATA	2007	00	2032
6	PPUDATA	2007	00	2033
6	PPUDATA	2007	00	2034
6	PPUDATA	2007	00	2035
6	PPUDATA	2007	00	2036
6	PPUDATA	2007	00	2037
6	PPUDATA	2007	00	2038
6	PPUDATA	2007	00	2039
6	PPUDATA	2007	00	203A
6	PPUDATA	2007	00	203B
6	PPUDATA	2007	00	203C
6	PPUDATA	2007	00	203D
6	PPUDATA	2007	00	203E
6	PPUDATA	2007	00	203F
6	PPUDATA	2007	00	2040
6	PPUDATA	2007	00	2041
6	PPUDATA	2007	00	2042
6	PPUDATA	2007	00	2043
6	PPUDATA	2007	00	2044
6	PPUDATA	2007	00	2045
6	PPUDATA	2007	00	2046
6	PPUDATA	2007	00	2047
6	PPUDATA	2007	00	2048
6	PPUDATA	2007	00	2049
6	PPUDATA	2007	00	204A
6	PPUDATA	2007	00	204B
6	PPUDATA	2007	00	204C
6	PPUDATA	2007	00	204D
6	PPUDATA	2007	00	204E
6	PPUDATA	2007	00	204F
6	PPUDATA	2007	00	2050
6	PPUDATA	2007	00	2051
6	PPUDATA	2007	00	2052
6	PPUDATA	2007	00	2053
6	PPUDATA	2007	00	2054
6	PPUDATA	2007	00	2055
6	PPUDATA	2007	00	2056
6	PPUDATA	2007	00	2057
6	PPUDATA	2007	00	2058
6	PPUDATA	2007	00	2059
6	PPUDATA	2007	00	205A
6	PPUDATA	2007	00	205B
6	PPUDATA	2007	00	205C
6	PPUDATA	2007	00	205D
6	PPUDATA	2007	00	205E
6	PPUDATA	2007	00	205F
6	PPUDATA	2007	00	2060
6	PPUDATA	2007	00	2061
6	PPUDATA	2007	00	2062
6	PPUDATA	2007	00	2063
6	PPUDATA	2007	00	2064
6	PPUDATA	2007	00	2065
6	PPUDATA	2007	00	2066
6	PPUDATA	2007	00	2067
6	PPUDATA	2007	00	2068
6	PPUDATA	2007	00	2069
6	PPUDATA	2007	00	206A
6	PPUDATA	2007	00	206B
6	PPUDATA	2007	00	206C
6	PPUDATA	2007	00	206D
6	PPUDATA	2007	00	206E
6	PPUDATA	2007	00	206F
6	PPUDATA	2007	00	2070
6	PPUDATA	2007	00	2071
6	PPUDATA	2007	00	2072
6	PPUDATA	2007	00	2073
6	PPUDATA	2007	00	2074
6	PPUDATA	2007	00	2075
6	PPUDATA	2007	00	2076
6	PPUDATA	2007	00	2077
6	PPUDATA	2007	00	2078
6	PPUDATA	2007	00	2079
6	PPUDATA	2007	00	207A
