frame	reason	registered	hits	detail
0	lua_start	181	0	callback_mode=true;target_source=kunio_v04_equal_length_targets.lua;targets=13
0	periodic	181	0	running
0	periodic	181	0	running
300	periodic	181	0	running
600	periodic	181	0	running
900	periodic	181	0	running
1200	periodic	181	0	running
1500	periodic	181	0	running
1800	periodic	181	0	running
2100	periodic	181	5	running
2400	periodic	181	5	running
2700	periodic	181	5	running
3000	periodic	181	5	running
3300	periodic	181	5	running
3600	lua_done	181	5	out=kunio_fceux_lua_output
