frame	label	buttons	fingerprint	ram51	ram0720	ram0721	ram0722	ram0723	ram07fd	ram07fe	ram07ff
0	start		384261912:0	00	00	00	00	00	FF	FF	FF
302	screen_change	down	762871834:1440	00	81	26	AC	39	00	DC	2E
306	screen_change	down	303335191:960	00	81	26	AC	39	00	DC	2E
310	screen_change		8507662:16320	00	81	26	AC	39	00	DC	2E
328	screen_change		468044305:16800	13	1D	1D	1D	67	00	B6	2A
350	A_before	A	468044305:16800	13	1F	1F	1F	69	00	B6	2A
365	A_after		468044305:16800	13	21	21	21	6B	00	B6	2A
500	B_before	B	468044305:16800	13	9C	1E	1E	67	00	B6	2A
515	B_after		468044305:16800	13	9E	20	20	6B	00	B6	2A
650	Start_before	start	468044305:16800	13	0E	95	12	72	00	B6	2A
655	screen_change	start	8507662:16320	13	00	00	00	00	00	B6	2A
665	Start_after		8507662:16320	13	00	00	00	00	00	B6	2A
666	screen_change		303335191:960	13	00	00	00	00	00	B6	2A
670	screen_change		8507662:16320	00	00	00	00	00	00	B6	2A
672	screen_change		303335191:960	00	00	00	00	00	00	B6	2A
678	screen_change		762871834:1440	00	00	00	00	00	00	B6	2A
681	screen_change		303335191:960	00	00	00	00	00	00	B6	2A
686	screen_change		8507662:16320	00	00	00	00	00	00	B6	2A
800	Select_before	select	8507662:16320	00	00	00	00	00	00	B6	2A
815	Select_after		303335191:960	00	00	00	00	00	00	B6	2A
817	screen_change		8507662:16320	00	00	00	00	00	00	B6	2A
819	screen_change		303335191:960	00	00	00	00	00	00	B6	2A
822	screen_change		762871834:1440	00	00	00	00	00	00	B6	2A
824	screen_change		303335191:960	00	00	00	00	00	00	B6	2A
830	screen_change		8507662:16320	00	00	00	00	00	00	B6	2A
950	Up_before	up	8507662:16320	00	CA	C9	19	9C	00	B6	2A
965	Up_after		8507662:16320	00	ED	EC	1B	90	00	B6	2A
1100	Down_before	down	8507662:16320	00	F0	EF	2B	92	00	B6	2A
1115	Down_after		8507662:16320	00	F2	F1	2A	94	00	B6	2A
1250	Left_before	left	8507662:16320	00	E2	E1	3D	A9	00	B6	2A
1265	Left_after		8507662:16320	00	E4	E3	3F	AB	00	B6	2A
1400	Right_before	right	8507662:16320	00	CA	C9	19	9C	00	B6	2A
1415	Right_after		8507662:16320	00	ED	EC	1B	90	00	B6	2A
1550	A+B_before	A+B	8507662:16320	00	F0	EF	2B	92	00	B6	2A
1565	A+B_after		8507662:16320	00	F3	F2	2B	95	00	B6	2A
1900	lua_done		8507662:16320	00	F2	F1	20	94	00	B6	2A
