frame	pointer_index	dialogue_id	object_index	ram_address	pc
328	181	B6	00	708B	9137
330	181	B6	00	708B	9137
332	181	B6	00	708B	9137
334	181	B6	00	708B	9137
336	181	B6	00	708B	9137
338	181	B6	00	708B	9137
340	181	B6	00	708B	9137
342	181	B6	00	708B	9137
344	181	B6	00	708B	9137
346	181	B6	00	708B	9137
348	181	B6	00	708B	9137
350	181	B6	00	708B	9137
352	181	B6	00	708B	9137
354	181	B6	00	708B	9137
356	181	B6	00	708B	9137
358	181	B6	00	708B	9137
360	181	B6	00	708B	9137
362	181	B6	00	708B	9137
364	181	B6	00	708B	9137
366	181	B6	00	708B	9137
368	181	B6	00	708B	9137
370	181	B6	00	708B	9137
372	181	B6	00	708B	9137
374	181	B6	00	708B	9137
376	181	B6	00	708B	9137
378	181	B6	00	708B	9137
380	181	B6	00	708B	9137
382	181	B6	00	708B	9137
384	181	B6	00	708B	9137
386	181	B6	00	708B	9137
388	181	B6	00	708B	9137
390	181	B6	00	708B	9137
