pointer_index,page_index,segment_lengths,max_segment_cells,level,korean_text
0,11,"1,17,6",17,PASS,그래 싸워라! 나와 싸우지 않으면 못 지나간다
1,19,"1,2",2,PASS,젠장!
2,46,"1,3,4",4,PASS,"아, 또 만났군!"
3,27,"1,10,6",10,PASS,그 녀석들 기억나? 저놈들이야!
4,22,"1,10,6",10,PASS,내 부하들을 어떻게 이긴 거냐?
5,15,"1,10",10,PASS,겁쟁이처럼 싸우는군
6,46,"1,7",7,PASS,나도 끼워 줘
7,30,"1,16",16,PASS,그 녀석은 아무것도 아니야
8,40,"1,8",8,PASS,나도 같이 가자
9,40,"1,13",13,PASS,"좋아, 우리도 싸우자"
10,31,"1,10,5",10,PASS,항복이다! 네가 너무 강해
11,31,"1,11,2",11,PASS,아직 진짜 실력을 못 봤다
12,7,"1,2",2,PASS,좋아
13,31,"1,13",13,PASS,내가 저 녀석을 해치우지
14,1,"1,6",6,PASS,정말 고맙다
15,4,"3,3,4",4,PASS,너희는 대체 누구냐?
16,31,"4,4",4,PASS,녀석들을 잡아!
17,7,"2,5",5,PASS,아악! 내가 졌다
18,0,"1,13,11",13,PASS,우린 나쁜 놈일지 몰라도 여자는 괴롭히지 않아
19,9,"1,12",12,PASS,뭐라고? 내가 이겼다고?
20,0,"1,12,11",12,PASS,진로 큰두목이 네놈들을 혼내라고 나를 보냈다
21,17,"1,7,9",9,PASS,네놈들을 중국 끝까지 날려 주마
22,7,"1,2",2,PASS,좋아
23,31,"1,13",13,PASS,이제 진로가 상대해 주마
24,27,"1,12",12,PASS,"그래, 네가 큰두목이군"
25,16,"1,12,5",12,PASS,이 패배자들에게 본때를 보여 주지
26,1,"1,15,7",15,PASS,정말 질기군! 하지만 헤이시가 널 쓰러뜨린다
27,43,"1,5,3",5,PASS,"쳇, 나중에 보자"
28,11,"1,2,5,10",10,PASS,이봐! 너희가 그 대단한 두 놈이군
29,35,"1,10,2",10,PASS,나는 긴수다! 한판 붙자
30,19,"1,2,7,6",7,PASS,젠장! 안타깝지만 넌 반대편이야
31,22,"1,10,5",10,PASS,내 동생 헤이시에게 말해 주마
32,38,"1,13",13,PASS,잡을 수 있으면 잡아 봐
33,26,"1,2,8",8,PASS,이봐! 나는 헤이시다
34,43,"1,8",8,PASS,"이런, 정말 세군"
35,27,"1,7,7",7,PASS,진로 큰두목이 널 손봐 주마
36,40,"1,8",8,PASS,도망치지 않겠다
37,40,"1,9",9,PASS,지금 나와 싸워라
38,1,"1,11,16",16,PASS,넌 누구 밑에서 일하지? 토라를 섬긴다고 들었다
39,27,"1,10,6",10,PASS,미안하군 친구! 한 번만 봐 줘
40,43,"1,9",9,PASS,이것을 가져가라
41,36,"1,8,4",8,PASS,"휴, 넌 목욕 좀 해야겠군"
42,39,"1,6",6,PASS,신세를 졌다
43,22,"1,10,10",10,PASS,여기 있다! 이 한방약을 가져가라
44,32,"1,15",15,PASS,그 약으로 상처를 치료해
45,2,"1,12,12",12,PASS,나는 토라의 성스러운 수호자다! 천벌을 받아라
46,47,"1,7",7,PASS,"허허, 뭐라고?"
47,6,"1,10,11",11,PASS,"형편없는 외지인들, 너희 영어는 엉망이군"
48,23,"1,2,5,13",13,PASS,"이봐! 한 번만 봐 줘, 지난 일은 잊자"
49,46,"1,7",7,PASS,나도 끼워 줘
50,41,"1,10",10,PASS,"나중에 보자, 친구"
51,0,"1,4",4,PASS,히히
52,23,"1,12,4",12,PASS,"개인적인 감정은 없어, 미안하다"
53,7,"1,11,14",14,PASS,넌 누구 밑에서 일하지? 좋은 소식이 있다
54,8,"1,14",14,PASS,토라가 그 소녀를 데려갔다
55,7,"1,13,12",13,PASS,너와 함께 갈 수 없어. 대신 내가 가르쳐 주지
56,28,"1,14",14,PASS,나의 유명한 단검 공격이다
57,37,"1,10",10,PASS,이제 떠나야 한다
58,32,"1,7",7,PASS,나중에 보자
59,28,"1,11,4",11,PASS,토라를 찾고 있다면 조심해라
60,8,"1,12,9",12,PASS,"토라가 소녀를 납치했을 리 없어, 그렇지?"
61,3,"1,13,13",13,PASS,말해 두지. 토라와 부하가 그녀를 붙잡았다
62,3,"1,8",8,PASS,그들은 위험하다
63,4,"1,11,13",13,PASS,너는 아사지와 관련 있군. 꽤 강하다고 들었다
64,46,"1,7",7,PASS,나도 끼워 줘
65,37,"1,4",4,PASS,부탁한다
66,44,"1,8",8,PASS,다시 돌아오겠다
67,2,"2,10,15",15,PASS,"그래, 우리가 소녀를 잡았다. 위대한 분을 위해서다"
68,16,"1,11,7",11,PASS,그녀를 되찾고 싶다면 우리를 이겨라
69,17,"1,11,7",11,PASS,그 얼간이가 도망갔다. 믿을 수 없군
70,35,"1,12",12,PASS,"끝장을 내라, 이 자식아"
71,23,"1,14,3",14,PASS,날 놓아준 걸 후회하게 될 거다
72,4,"1,12,12",12,PASS,너희가 누구를 데려와도 우리를 막을 수 없다
73,36,"1,15",15,PASS,도망칠 수 있을 때 도망쳐라
74,46,"1,7",7,PASS,또 너냐? 젠장
75,6,"1,10",10,PASS,너는 정말 웃기는군
76,46,"1,7",7,PASS,나도 끼워 줘
77,12,"1,11,12",12,PASS,"대장님, 이 일의 배후에는 큰두목이 있다"
78,5,"1,4,3,14",14,PASS,조심해라. 토라가 아사지라는 깡패를 고용했다
