frame	cpu_address	value	pc	a	x	y	mapper_control	r6	r7
1057	7AFB	A0	E901	A0	FE	00	05	08	09
1057	7AFC	A1	E901	A1	FE	00	05	08	09
1057	7AFD	A2	E901	A2	FE	00	05	08	09
1057	7AFE	80	E901	80	FE	00	05	08	09
1057	7AFF	80	E901	80	FE	00	05	08	09
1059	60A0	00	DBA6	00	00	A0	07	04	05
1059	60A1	00	DBA6	00	00	A1	07	04	05
1059	60A2	00	DBA6	00	00	A2	07	04	05
1059	60A3	00	DBA6	00	00	A3	07	04	05
1059	60A4	00	DBA6	00	00	A4	07	04	05
1059	60A5	00	DBA6	00	00	A5	07	04	05
1059	60A6	00	DBA6	00	00	A6	07	04	05
1059	60A7	00	DBA6	00	00	A7	07	04	05
1059	60A8	00	DBA6	00	00	A8	07	04	05
1059	60A9	00	DBA6	00	00	A9	07	04	05
1059	60AA	00	DBA6	00	00	AA	07	04	05
1059	60AB	00	DBA6	00	00	AB	07	04	05
1059	60AC	00	DBA6	00	00	AC	07	04	05
1059	60AD	00	DBA6	00	00	AD	07	04	05
1059	60AE	00	DBA6	00	00	AE	07	04	05
1059	60AF	00	DBA6	00	00	AF	07	04	05
1059	60B0	00	DBA6	00	00	B0	07	04	05
1059	60B1	00	DBA6	00	00	B1	07	04	05
1059	60B2	00	DBA6	00	00	B2	07	04	05
1059	60B3	00	DBA6	00	00	B3	07	04	05
1059	60B4	00	DBA6	00	00	B4	07	04	05
1059	60B5	00	DBA6	00	00	B5	07	04	05
1059	60B6	00	DBA6	00	00	B6	07	04	05
1059	60B7	00	DBA6	00	00	B7	07	04	05
1059	60B8	00	DBA6	00	00	B8	07	04	05
1059	60B9	00	DBA6	00	00	B9	07	04	05
1059	60BA	00	DBA6	00	00	BA	07	04	05
1059	60BB	00	DBA6	00	00	BB	07	04	05
1059	60BC	00	DBA6	00	00	BC	07	04	05
1059	60BD	00	DBA6	00	00	BD	07	04	05
1059	60BE	00	DBA6	00	00	BE	07	04	05
1059	60BF	00	DBA6	00	00	BF	07	04	05
1059	60C0	00	DBA6	00	00	C0	07	04	05
1060	6360	00	DBA6	00	00	60	07	04	05
1060	6361	00	DBA6	00	00	61	07	04	05
1060	6362	00	DBA6	00	00	62	07	04	05
1060	6363	00	DBA6	00	00	63	07	04	05
1060	6364	00	DBA6	00	00	64	07	04	05
1060	6365	00	DBA6	00	00	65	07	04	05
1060	6366	00	DBA6	00	00	66	07	04	05
1060	6367	00	DBA6	00	00	67	07	04	05
1060	6368	00	DBA6	00	00	68	07	04	05
