frame	phase	watch_values
0	route	00E7=FF 002A=00 002C=FF 001F=FF 002D=FF 001C=FF 0020=00 04F1=00 04FA=00 04FB=00 04FC=FF 04FD=FF 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
0	route	00E7=FF 002A=00 002C=FF 001F=FF 002D=FF 001C=FF 0020=00 04F1=00 04FA=00 04FB=00 04FC=FF 04FD=FF 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
60	route	00E7=1B 002A=3A 002C=92 001F=67 002D=07 001C=C0 0020=02 04F1=12 04FA=3C 04FB=3D 04FC=3E 04FD=3F 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
120	route	00E7=57 002A=3A 002C=92 001F=67 002D=07 001C=C0 0020=02 04F1=12 04FA=3C 04FB=3D 04FC=3E 04FD=3F 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
180	route	00E7=8F 002A=A7 002C=33 001F=DC 002D=90 001C=DC 0020=10 04F1=00 04FA=30 04FB=3D 04FC=3E 04FD=3F 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
240	route	00E7=CB 002A=A9 002C=3D 001F=EC 002D=90 001C=DC 0020=F6 04F1=00 04FA=30 04FB=3D 04FC=3E 04FD=3F 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
300	route	00E7=F8 002A=9F 002C=EF 001F=DC 002D=29 001C=09 0020=30 04F1=02 04FA=5E 04FB=5F 04FC=60 04FD=61 0720=81 0721=26 0722=AC 0723=39 0708=00 07A8=00 07A9=00
360	route	00E7=27 002A=5F 002C=F9 001F=E2 002D=92 001C=DD 0020=7F 04F1=02 04FA=30 04FB=31 04FC=32 04FD=33 0720=20 0721=20 0722=20 0723=6B 0708=23 07A8=DC 07A9=DC
420	route	00E7=63 002A=5D 002C=EF 001F=CA 002D=92 001C=C6 0020=88 04F1=02 04FA=30 04FB=31 04FC=32 04FD=33 0720=94 0721=38 0722=B5 0723=6E 0708=2F 07A8=DC 07A9=10
480	route	00E7=9F 002A=61 002C=03 001F=B4 002D=93 001C=B0 0020=87 04F1=02 04FA=30 04FB=31 04FC=32 04FD=33 0720=9A 0721=1C 0722=1C 0723=65 0708=3B 07A8=DC 07A9=DC
540	route	00E7=DB 002A=5D 002C=EF 001F=9D 002D=92 001C=99 0020=88 04F1=02 04FA=30 04FB=31 04FC=32 04FD=33 0720=A0 0721=22 0722=22 0723=6C 0708=47 07A8=DC 07A9=DC
600	route	00E7=17 002A=5D 002C=EF 001F=87 002D=92 001C=83 0020=88 04F1=02 04FA=30 04FB=31 04FC=32 04FD=33 0720=A4 0721=38 0722=C2 0723=4A 0708=53 07A8=00 07A9=00
660	route	00E7=53 002A=5D 002C=EF 001F=70 002D=92 001C=6C 0020=88 04F1=02 04FA=30 04FB=31 04FC=32 04FD=33 0720=0F 0721=96 0722=14 0723=73 0708=5F 07A8=DC 07A9=21
720	route	00E7=8F 002A=61 002C=03 001F=5A 002D=93 001C=56 0020=87 04F1=02 04FA=30 04FB=31 04FC=32 04FD=33 0720=13 0721=9D 0722=1B 0723=79 0708=6B 07A8=18 07A9=0F
780	route	00E7=CB 002A=5D 002C=EF 001F=43 002D=92 001C=3F 0020=88 04F1=02 04FA=30 04FB=31 04FC=32 04FD=33 0720=19 0721=A0 0722=1E 0723=7F 0708=77 07A8=F0 07A9=F0
840	route	00E7=07 002A=5D 002C=EF 001F=2D 002D=92 001C=29 0020=88 04F1=02 04FA=30 04FB=31 04FC=32 04FD=33 0720=AC 0721=A7 0722=24 0723=75 0708=83 07A8=21 07A9=21
