frame	label	category	rom_hit	cpu_range	expected_bytes	active_expected_match	record_snapshot
2366	v04_watch_rom_0561a_스테이지_7c	스테이지	ROM+0x0561A	$95BE-$960F	8B 8C	false	12 A8 C9 40 90 18 A9 00 20 1A A8 20 34 A8 60 B9 DA 03 20 12 A8 C9 38 90 05 20 E8 9D B0 ED 60 BC A0 04 20 A1 C1 B5 77 30 18 B9 DA 03 29 80 95 70 09 40 9D 0F 03 20 3B A8 20 8E 99 20 FE A8 20 1A A9 BC A0 04 20 A1 C1 A9 02 20 1A A8 20 48 A8 20 E8 9D
2366	v04_watch_rom_0562f_보스_80	보스	ROM+0x0562F	$961A-$9623	89 98 8E 90	false	A8 90 08 A9 00 20 1A A8 20 34
2366	v04_watch_rom_05643_보스_80	보스	ROM+0x05643	$9633-$9637	8D 8E 8F 90	false	B5 77 30 14 20
2366	v04_watch_rom_0569d_스테이지_7a	스테이지	ROM+0x0569D	$968C-$968F	8B 8C	false	00 29 40 F0
2366	v04_watch_rom_056da_스테이지_80	스테이지	ROM+0x056DA	$96C5-$96CE	8B 8C	false	A8 20 34 A9 B5 70 29 80 09 40
2366	v04_watch_rom_0571c_스테이지_78	스테이지	ROM+0x0571C	$9706-$9714	8B 8C	false	04 9D D4 04 BD D4 04 DD A4 04 F0 07 A9 00 95
2366	v04_watch_rom_057d4_스테이지_8c	스테이지	ROM+0x057D4	$97C4-$97C8	8B 8C	false	29 0F 05 1A A8
2366	v04_rom_07227_candidate_84	무기	ROM+0x07227	$B216-$B21A	88 89 8A	false	0A 0A A8 B9 32
2366	v04_rom_0736a_candidate_93	UI	ROM+0x0736A	$B359-$B35E	96 8E 97	false	78 8D 0B 78 8D 0C
2366	v04_rom_0739d_candidate_93	UI	ROM+0x0739D	$B38C-$B391	96 8E 97	false	A1 A5 2D 85 AA A5
