frame	label	category	rom_hit	cpu_range	expected_bytes	active_expected_match	record_snapshot
302	v04_watch_rom_0561a_스테이지_7c	스테이지	ROM+0x0561A	$95BE-$960F	8B 8C	false	7B 15 96 15 96 15 96 15 96 15 96 15 96 15 96 15 96 15 96 15 96 05 7B 0A 7B 0F 7B 14 7B 29 96 2E 96 33 96 19 7B 3D 96 1E 7B 47 96 4C 96 51 96 23 7B 5B 96 60 96 65 96 28 7B 6F 96 2D 7B 79 96 7D 96 82 96 87 96 8C 96 91 96 96 96 9B 96 88 96 9F 8B FF
302	v04_watch_rom_0562f_보스_80	보스	ROM+0x0562F	$961A-$9623	89 98 8E 90	false	0C B6 83 87 91 90 92 82 91 FF
302	v04_watch_rom_05643_보스_80	보스	ROM+0x05643	$9633-$9637	8D 8E 8F 90	false	9D 82 8C 91 FF
302	v04_watch_rom_0569d_스테이지_7a	스테이지	ROM+0x0569D	$968C-$968F	8B 8C	false	85 A0 92 FF
302	v04_watch_rom_056da_스테이지_80	스테이지	ROM+0x056DA	$96C5-$96CE	8B 8C	false	9A 07 99 8D 89 9A 8C 0F 83 FF
302	v04_watch_rom_0571c_스테이지_78	스테이지	ROM+0x0571C	$9706-$9714	8B 8C	false	8E 87 0A AB 83 A6 92 84 A3 AE 94 A3 9F 92 FF
302	v04_watch_rom_057d4_스테이지_8c	스테이지	ROM+0x057D4	$97C4-$97C8	8B 8C	false	A6 98 8D 89 FF
302	v04_rom_07227_candidate_84	무기	ROM+0x07227	$B216-$B21A	88 89 8A	false	85 8A 94 99 00
302	v04_rom_0736a_candidate_93	UI	ROM+0x0736A	$B359-$B35E	96 8E 97	false	F0 BB 95 AF CB 00
302	v04_rom_0739d_candidate_93	UI	ROM+0x0739D	$B38C-$B391	96 8E 97	false	F0 BB 95 AF CA 00
