frame	cpu_address	value	pc	a	x	y
1893	F2C0	00	F2A9	00	FF	0F
1893	F2C1	00	F2A9	00	FF	10
1893	F2C2	00	F2A9	00	FF	11
1893	F2C3	00	F2A9	00	FF	12
1893	F2C4	00	F2A9	00	FF	13
1893	F2C5	00	F2A9	00	FF	14
1893	F2C6	00	F2A9	00	FF	15
1893	F2C7	00	F2A9	00	FF	16
1893	F2C8	00	F2A9	00	FF	17
1893	F2C9	00	F2A9	00	FF	18
1893	F2CA	00	F2A9	00	FF	19
1893	F2CB	00	F2A9	00	FF	1A
1893	F2CC	00	F2A9	00	FF	1B
1893	F2CD	B8	F2A9	00	FF	1C
1893	F2CE	00	F2A9	B8	FF	1D
1893	F2CF	00	F2A9	00	FF	1E
1893	F2D0	00	F2A9	00	FF	1F
1893	F2D1	00	F2A9	00	FF	20
1893	F2D2	00	F2A9	00	FF	21
1893	F2D3	A3	F2A9	00	FF	22
1893	F2D4	91	F2A9	A3	FF	23
1893	F2D5	A3	F2A9	91	FF	24
1893	F2D6	99	F2A9	A3	FF	25
1893	F2D7	00	F2A9	99	FF	26
1893	F2D8	00	F2A9	00	FF	27
1893	F2D9	00	F2A9	00	FF	28
1893	F2DA	8D	F2A9	00	FF	29
1893	F2DB	93	F2A9	8D	FF	2A
1893	F2DC	71	F2A9	93	FF	2B
1893	F2DD	90	F2A9	71	FF	2C
1893	F2DE	8D	F2A9	90	FF	2D
1893	F2DF	00	F2A9	8D	FF	2E
1893	F2E0	00	F2A9	00	FF	2F
1893	F2E1	AC	F2A9	00	FF	30
1893	F2E2	A8	F2A9	AC	FF	31
1893	F2E3	9C	F2A9	A8	FF	32
1893	F2E4	A8	F2A9	9C	FF	33
1893	F2E5	00	F2A9	A8	FF	34
1893	F2E6	00	F2A9	00	FF	35
1893	F2E7	00	F2A9	00	FF	36
1893	F2E8	9B	F2A9	00	FF	37
1893	F2E9	B4	F2A9	9B	FF	38
1893	F2EA	8B	F2A9	B4	FF	39
1893	F2EB	92	F2A9	8B	FF	3A
1893	F2EC	AC	F2A9	92	FF	3B
1893	F2ED	8B	F2A9	AC	FF	3C
1893	F2EE	00	F2A9	8B	FF	3D
1893	F2EF	00	F2A9	00	FF	3E
1893	F2F0	00	F2A9	00	FF	3F
1893	F2F1	00	F2A9	00	FF	40
1893	F2F2	00	F2A9	00	FF	41
1893	F2F3	00	F2A9	00	FF	42
1893	F2F4	00	F2A9	00	FF	43
1893	F2F5	00	F2A9	00	FF	44
1893	F2F6	00	F2A9	00	FF	45
1893	F2F7	00	F2A9	00	FF	46
1893	F2F8	00	F2A9	00	FF	47
1893	F2F9	00	F2A9	00	FF	48
1893	F2FA	00	F2A9	00	FF	49
1893	F2FB	00	F2A9	00	FF	4A
1893	F2FC	00	F2A9	00	FF	4B
1893	F2FD	00	F2A9	00	FF	4C
1893	F2FE	00	F2A9	00	FF	4D
1893	F2FF	00	F2A9	00	FF	4E
1893	F300	00	F2A9	00	FF	4F
1893	F301	00	F2A9	00	FF	50
1893	F302	00	F2A9	00	FF	51
1893	F303	00	F2A9	00	FF	52
1893	F304	00	F2A9	00	FF	53
1893	F305	00	F2A9	00	FF	54
1893	F306	00	F2A9	00	FF	55
1893	F307	00	F2A9	00	FF	56
1893	F308	B8	F2A9	00	FF	57
1893	F309	00	F2A9	B8	FF	58
1893	F30A	00	F2A9	00	FF	59
1893	F30B	00	F2A9	00	FF	5A
1893	F30C	00	F2A9	00	FF	5B
1893	F30D	B8	F2A9	00	FF	5C
1893	F30E	00	F2A9	B8	FF	5D
1893	F30F	00	F2A9	00	FF	5E
1893	F310	00	F2A9	00	FF	5F
1893	F311	00	F2A9	00	FF	60
1893	F312	00	F2A9	00	FF	61
1893	F313	87	F2A9	00	FF	62
1893	F314	AB	F2A9	87	FF	63
1893	F315	88	F2A9	AB	FF	64
1893	F316	00	F2A9	88	FF	65
1893	F317	00	F2A9	00	FF	66
1893	F318	00	F2A9	00	FF	67
1893	F319	00	F2A9	00	FF	68
1893	F31A	8B	F2A9	00	FF	69
1893	F31B	88	F2A9	8B	FF	6A
1893	F31C	8E	F2A9	88	FF	6B
1893	F31D	AE	F2A9	8E	FF	6C
1893	F31E	00	F2A9	AE	FF	6D
1893	F31F	00	F2A9	00	FF	6E
1893	F320	00	F2A9	00	FF	6F
1893	F321	8E	F2A9	00	FF	70
1893	F322	B4	F2A9	8E	FF	71
1893	F323	93	F2A9	B4	FF	72
1893	F324	82	F2A9	93	FF	73
1893	F325	00	F2A9	82	FF	74
1893	F326	00	F2A9	00	FF	75
1893	F327	00	F2A9	00	FF	76
1893	F328	89	F2A9	00	FF	77
1893	F329	71	F2A9	89	FF	78
1893	F32A	A1	F2A9	71	FF	79
1893	F32B	A3	F2A9	A1	FF	7A
1893	F32C	71	F2A9	A3	FF	7B
1893	F32D	94	F2A9	71	FF	7C
