frame	ppu_address	value	pc
1726	2000	00	FDF5
1726	2001	00	FDF5
1726	2002	00	FDF5
1726	2003	00	FDF5
1726	2004	00	FDF5
1726	2005	00	FDF5
1726	2006	00	FDF5
1726	2007	00	FDF5
1726	2008	00	FDF5
1726	2009	00	FDF5
1726	200A	00	FDF5
1726	200B	00	FDF5
1726	200C	00	FDF5
1726	200D	00	FDF5
1726	200E	00	FDF5
1726	200F	00	FDF5
1726	2010	00	FDF5
1726	2011	00	FDF5
1726	2012	00	FDF5
1726	2013	00	FDF5
1726	2014	00	FDF5
1726	2015	00	FDF5
1726	2016	00	FDF5
1726	2017	00	FDF5
1726	2018	00	FDF5
1726	2019	00	FDF5
1726	201A	00	FDF5
1726	201B	00	FDF5
1726	201C	00	FDF5
1726	201D	00	FDF5
1726	201E	00	FDF5
1726	201F	00	FDF5
1726	2020	00	FDF5
1726	2021	00	FDF5
1726	2022	00	FDF5
1726	2023	00	FDF5
1726	2024	00	FDF5
1726	2025	00	FDF5
1726	2026	00	FDF5
1726	2027	00	FDF5
1726	2028	00	FDF5
1726	2029	00	FDF5
1726	202A	00	FDF5
1726	202B	00	FDF5
1726	202C	00	FDF5
1726	202D	00	FDF5
1726	202E	00	FDF5
1726	202F	00	FDF5
1726	2030	00	FDF5
1726	2031	00	FDF5
1726	2032	00	FDF5
1726	2033	00	FDF5
1726	2034	00	FDF5
1726	2035	00	FDF5
1726	2036	00	FDF5
1726	2037	00	FDF5
1726	2038	00	FDF5
1726	2039	00	FDF5
1726	203A	00	FDF5
1726	203B	00	FDF5
1726	203C	00	FDF5
1726	203D	00	FDF5
1726	203E	00	FDF5
1726	203F	00	FDF5
1726	2040	00	FDF5
1726	2041	00	FDF5
1726	2042	00	FDF5
1726	2043	00	FDF5
1726	2044	00	FDF5
1726	2045	00	FDF5
1726	2046	00	FDF5
1726	2047	00	FDF5
1726	2048	00	FDF5
1726	2049	00	FDF5
1726	204A	00	FDF5
1726	204B	00	FDF5
1726	204C	00	FDF5
1726	204D	00	FDF5
1726	204E	00	FDF5
1726	204F	00	FDF5
1726	2050	00	FDF5
1726	2051	00	FDF5
1726	2052	00	FDF5
1726	2053	00	FDF5
1726	2054	00	FDF5
1726	2055	00	FDF5
1726	2056	00	FDF5
1726	2057	00	FDF5
1726	2058	00	FDF5
1726	2059	00	FDF5
1726	205A	00	FDF5
1726	205B	00	FDF5
1726	205C	00	FDF5
1726	205D	00	FDF5
1726	205E	00	FDF5
1726	205F	00	FDF5
1726	2060	00	FDF5
1726	2061	00	FDF5
1726	2062	00	FDF5
1726	2063	00	FDF5
1726	2064	00	FDF5
1726	2065	00	FDF5
1726	2066	00	FDF5
1726	2067	00	FDF5
1726	2068	00	FDF5
1726	2069	00	FDF5
1726	206A	00	FDF5
1726	206B	00	FDF5
1726	206C	00	FDF5
1726	206D	00	FDF5
1726	206E	00	FDF5
1726	206F	00	FDF5
1726	2070	00	FDF5
1726	2071	00	FDF5
1726	2072	00	FDF5
1726	2073	00	FDF5
1726	2074	00	FDF5
1726	2075	00	FDF5
1726	2076	00	FDF5
1726	2077	00	FDF5
1726	2078	00	FDF5
1726	2079	00	FDF5
1726	207A	00	FDF5
1726	207B	00	FDF5
1726	207C	00	FDF5
1726	207D	00	FDF5
1726	207E	00	FDF5
1726	207F	00	FDF5
1726	2080	00	FDF5
1726	2081	00	FDF5
1726	2082	00	FDF5
1726	2083	00	FDF5
1726	2084	00	FDF5
1726	2085	00	FDF5
1726	2086	00	FDF5
1726	2087	00	FDF5
1726	2088	00	FDF5
1726	2089	00	FDF5
1726	208A	00	FDF5
1726	208B	00	FDF5
1726	208C	00	FDF5
1726	208D	00	FDF5
1726	208E	00	FDF5
1726	208F	00	FDF5
1726	2090	00	FDF5
1726	2091	00	FDF5
1726	2092	00	FDF5
1726	2093	00	FDF5
1726	2094	00	FDF5
1726	2095	00	FDF5
1726	2096	00	FDF5
1726	2097	00	FDF5
1726	2098	00	FDF5
1726	2099	00	FDF5
1726	209A	00	FDF5
1726	209B	00	FDF5
1726	209C	00	FDF5
1726	209D	00	FDF5
1726	209E	00	FDF5
1726	209F	00	FDF5
1726	20A0	00	FDF5
1726	20A1	00	FDF5
1726	20A2	00	FDF5
1726	20A3	00	FDF5
1726	20A4	00	FDF5
1726	20A5	00	FDF5
1726	20A6	00	FDF5
1726	20A7	00	FDF5
1726	20A8	00	FDF5
1726	20A9	00	FDF5
1726	20AA	00	FDF5
1726	20AB	00	FDF5
1726	20AC	00	FDF5
1726	20AD	00	FDF5
1726	20AE	00	FDF5
1726	20AF	00	FDF5
1726	20B0	00	FDF5
1726	20B1	00	FDF5
1726	20B2	00	FDF5
1726	20B3	00	FDF5
1726	20B4	00	FDF5
1726	20B5	00	FDF5
1726	20B6	00	FDF5
1726	20B7	00	FDF5
1726	20B8	00	FDF5
1726	20B9	00	FDF5
1726	20BA	00	FDF5
1726	20BB	00	FDF5
1726	20BC	00	FDF5
1726	20BD	00	FDF5
1726	20BE	00	FDF5
1726	20BF	00	FDF5
1726	20C0	00	FDF5
1726	20C1	00	FDF5
1726	20C2	00	FDF5
1726	20C3	00	FDF5
1726	20C4	00	FDF5
1726	20C5	00	FDF5
1726	20C6	00	FDF5
1726	20C7	00	FDF5
1726	20C8	00	FDF5
1726	20C9	00	FDF5
1726	20CA	00	FDF5
1726	20CB	00	FDF5
1726	20CC	00	FDF5
1726	20CD	00	FDF5
1726	20CE	00	FDF5
1726	20CF	00	FDF5
1726	20D0	00	FDF5
1726	20D1	00	FDF5
1726	20D2	00	FDF5
1726	20D3	00	FDF5
1726	20D4	00	FDF5
1726	20D5	00	FDF5
1726	20D6	00	FDF5
1726	20D7	00	FDF5
1726	20D8	00	FDF5
1726	20D9	00	FDF5
1726	20DA	00	FDF5
1726	20DB	00	FDF5
1726	20DC	00	FDF5
1726	20DD	00	FDF5
1726	20DE	00	FDF5
1726	20DF	00	FDF5
1726	20E0	00	FDF5
1726	20E1	00	FDF5
1726	20E2	00	FDF5
