frame	cpu_address	value	pc	a	x	y
1893	F2C0	00	F2A9	00	FF	0F
1893	F2C1	88	F2A9	00	FF	10
1893	F2C2	89	F2A9	88	FF	11
1893	F2C3	8A	F2A9	89	FF	12
1893	F2C4	8B	F2A9	8A	FF	13
1893	F2C5	00	F2A9	8B	FF	14
1893	F2C6	00	F2A9	00	FF	15
1893	F2C7	00	F2A9	00	FF	16
1893	F2C8	8C	F2A9	00	FF	17
1893	F2C9	8D	F2A9	8C	FF	18
1893	F2CA	8E	F2A9	8D	FF	19
1893	F2CB	8F	F2A9	8E	FF	1A
1893	F2CC	00	F2A9	8F	FF	1B
1893	F2CD	B8	F2A9	00	FF	1C
1893	F2CE	00	F2A9	B8	FF	1D
1893	F2CF	00	F2A9	00	FF	1E
1893	F2D0	00	F2A9	00	FF	1F
1893	F2D1	00	F2A9	00	FF	20
1893	F2D2	00	F2A9	00	FF	21
1893	F2D3	A0	F2A9	00	FF	22
1893	F2D4	A1	F2A9	A0	FF	23
1893	F2D5	A2	F2A9	A1	FF	24
1893	F2D6	A3	F2A9	A2	FF	25
1893	F2D7	00	F2A9	A3	FF	26
1893	F2D8	00	F2A9	00	FF	27
1893	F2D9	00	F2A9	00	FF	28
1893	F2DA	A4	F2A9	00	FF	29
1893	F2DB	A5	F2A9	A4	FF	2A
1893	F2DC	A6	F2A9	A5	FF	2B
1893	F2DD	A7	F2A9	A6	FF	2C
1893	F2DE	00	F2A9	A7	FF	2D
1893	F2DF	00	F2A9	00	FF	2E
1893	F2E0	00	F2A9	00	FF	2F
1893	F2E1	A8	F2A9	00	FF	30
1893	F2E2	A9	F2A9	A8	FF	31
1893	F2E3	AA	F2A9	A9	FF	32
1893	F2E4	AB	F2A9	AA	FF	33
1893	F2E5	00	F2A9	AB	FF	34
1893	F2E6	00	F2A9	00	FF	35
1893	F2E7	00	F2A9	00	FF	36
1893	F2E8	AC	F2A9	00	FF	37
1893	F2E9	AD	F2A9	AC	FF	38
1893	F2EA	AE	F2A9	AD	FF	39
1893	F2EB	AF	F2A9	AE	FF	3A
1893	F2EC	00	F2A9	AF	FF	3B
1893	F2ED	00	F2A9	00	FF	3C
1893	F2EE	00	F2A9	00	FF	3D
1893	F2EF	00	F2A9	00	FF	3E
1893	F2F0	00	F2A9	00	FF	3F
1893	F2F1	00	F2A9	00	FF	40
1893	F2F2	00	F2A9	00	FF	41
1893	F2F3	8C	F2A9	00	FF	42
1893	F2F4	8D	F2A9	8C	FF	43
1893	F2F5	90	F2A9	8D	FF	44
1893	F2F6	91	F2A9	90	FF	45
1893	F2F7	00	F2A9	91	FF	46
1893	F2F8	00	F2A9	00	FF	47
1893	F2F9	00	F2A9	00	FF	48
1893	F2FA	92	F2A9	00	FF	49
1893	F2FB	93	F2A9	92	FF	4A
1893	F2FC	94	F2A9	93	FF	4B
1893	F2FD	95	F2A9	94	FF	4C
1893	F2FE	00	F2A9	95	FF	4D
1893	F2FF	00	F2A9	00	FF	4E
1893	F300	00	F2A9	00	FF	4F
1893	F301	96	F2A9	00	FF	50
1893	F302	97	F2A9	96	FF	51
1893	F303	98	F2A9	97	FF	52
1893	F304	99	F2A9	98	FF	53
1893	F305	00	F2A9	99	FF	54
1893	F306	00	F2A9	00	FF	55
1893	F307	00	F2A9	00	FF	56
1893	F308	9A	F2A9	00	FF	57
1893	F309	9B	F2A9	9A	FF	58
1893	F30A	8A	F2A9	9B	FF	59
1893	F30B	8B	F2A9	8A	FF	5A
1893	F30C	00	F2A9	8B	FF	5B
1893	F30D	B8	F2A9	00	FF	5C
1893	F30E	00	F2A9	B8	FF	5D
1893	F30F	00	F2A9	00	FF	5E
1893	F310	00	F2A9	00	FF	5F
1893	F311	00	F2A9	00	FF	60
1893	F312	00	F2A9	00	FF	61
1893	F313	AC	F2A9	00	FF	62
1893	F314	AD	F2A9	AC	FF	63
1893	F315	B0	F2A9	AD	FF	64
1893	F316	B1	F2A9	B0	FF	65
1893	F317	00	F2A9	B1	FF	66
1893	F318	00	F2A9	00	FF	67
1893	F319	00	F2A9	00	FF	68
1893	F31A	B2	F2A9	00	FF	69
1893	F31B	B3	F2A9	B2	FF	6A
1893	F31C	B4	F2A9	B3	FF	6B
1893	F31D	B5	F2A9	B4	FF	6C
1893	F31E	00	F2A9	B5	FF	6D
1893	F31F	00	F2A9	00	FF	6E
1893	F320	00	F2A9	00	FF	6F
1893	F321	B6	F2A9	00	FF	70
1893	F322	B7	F2A9	B6	FF	71
1893	F323	B8	F2A9	B7	FF	72
1893	F324	B9	F2A9	B8	FF	73
1893	F325	00	F2A9	B9	FF	74
1893	F326	00	F2A9	00	FF	75
1893	F327	00	F2A9	00	FF	76
1893	F328	BA	F2A9	00	FF	77
1893	F329	BB	F2A9	BA	FF	78
1893	F32A	AA	F2A9	BB	FF	79
1893	F32B	AB	F2A9	AA	FF	7A
1893	F32C	00	F2A9	AB	FF	7B
1893	F32D	00	F2A9	00	FF	7C
