nametable	row	values
0	0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0	1	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0	2	00 00 00 88 96 9F 8B 00 D5 D5 00 00 00 00 00 00 00 92 A9 9F 92 00 D5 D5 00 00 00 00 00 00 00 00
0	3	00 00 00 00 00 00 00 00 D8 D8 00 00 00 00 00 00 00 00 00 00 00 00 D8 D8 00 00 00 00 00 00 00 00
0	4	02 00 00 00 00 00 00 00 00 00 1A 1B 1B 1B 1C 0C 00 47 48 48 48 49 24 24 25 26 24 24 ED EE EF 00
0	5	02 00 00 00 00 00 00 00 00 00 2A 2B 2B 2B 2C 3D 00 47 48 48 48 49 24 24 25 26 24 24 ED EE EF 00
0	6	02 00 00 00 00 00 00 00 00 00 2D 1D 1D 1D 1D 4D 00 47 48 48 48 49 60 60 60 60 60 60 ED EE EF 00
0	7	9D 00 00 00 00 00 00 00 00 00 0E 0F 0F 0F 0F 0F 00 37 38 38 38 39 70 70 70 70 70 70 FD FE FF 00
0	8	11 00 00 00 00 00 00 00 00 00 10 11 10 11 10 11 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57
0	9	21 00 00 00 00 00 00 00 00 00 20 21 20 21 20 21 67 67 67 67 67 67 67 67 67 67 67 67 67 67 67 67
0	10	7C 00 00 00 00 00 00 00 00 00 0A 0A 30 31 30 31 00 00 00 00 58 59 C2 C3 58 59 27 28 28 28 29 00
0	11	01 00 00 00 00 00 00 00 00 00 00 00 40 41 40 41 00 35 36 00 03 69 D2 D3 03 69 47 48 48 48 49 CF
0	12	01 00 00 00 00 00 00 00 00 00 24 24 4E 4F 4E 4F 44 45 46 00 03 69 E2 E3 03 69 47 48 48 48 49 DF
0	13	01 00 00 00 00 00 00 00 00 00 24 24 1E 1F 1E 1F 54 55 56 00 78 79 F2 F3 78 79 37 38 38 38 39 00
0	14	01 00 00 00 00 00 00 00 00 00 33 33 1E 1F 1E 1F 3A 3B 3C 00 00 00 00 00 00 00 12 13 13 13 14 00
0	15	01 00 00 00 00 00 00 00 00 00 12 13 13 13 14 1F 4A 4B 4C 00 50 51 51 51 51 51 22 00 22 00 22 00
0	16	01 00 00 00 00 00 00 00 00 00 22 00 22 00 22 23 5A 5B 5C 5D 04 04 04 04 04 04 04 04 04 04 04 04
0	17	01 00 00 00 00 00 00 00 00 00 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
0	18	03 00 00 00 00 00 00 00 00 00 03 03 03 03 03 03 03 03 03 03 03 E0 03 03 03 03 03 03 E0 03 03 03
0	19	03 00 00 00 00 00 00 00 00 00 03 03 E0 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
0	20	E0 00 00 00 00 00 00 00 00 00 03 03 03 03 03 03 03 03 03 E0 03 03 03 E0 03 03 03 E0 03 03 F0 03
0	21	03 00 00 00 00 00 00 00 00 00 03 03 03 03 03 03 F0 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
0	22	03 00 00 00 00 00 00 00 00 00 03 E0 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 E0 03 03
0	23	03 00 00 00 00 00 00 00 00 00 03 03 03 03 03 03 03 03 03 E0 03 03 03 03 F0 03 03 03 03 03 03 03
0	24	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0	25	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0	26	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0	27	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0	28	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0	29	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1	0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1	1	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1	2	00 00 00 88 96 9F 8B 00 00 00 00 C2 C0 C0 CF 00 00 92 A9 9F 92 00 00 00 00 C2 C0 C0 CF 00 00 00
1	3	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1	4	47 48 48 48 48 49 02 02 02 02 47 48 48 48 48 49 00 00 02 02 02 02 FC 02 02 AE AF 8F 8F 8F AE AF
1	5	47 48 48 48 48 49 02 02 02 02 47 48 48 48 48 49 00 00 02 02 02 02 FC 8E 02 BE 9E 00 00 00 9F BF
1	6	47 48 48 48 48 49 DC DC DC DC 47 48 48 48 48 49 00 00 0B 0B 0B 0B FC 02 02 02 8B 8C 8C 8C 8D 02
1	7	37 38 38 38 38 39 DC DC DC DC 37 38 38 38 38 39 00 00 01 01 01 01 9C 9D 9D 9D 9D 9D 9D 9D 9D 9D
1	8	10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 00 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 00
1	9	20 21 20 21 20 21 20 21 20 21 20 21 20 21 20 21 00 3F 3F 3F 3F 3F 3F 3F 3F 3F 3F 3F 3F 3F 3F 00
1	10	EC EC EC BC BD 01 BB BC BD 01 BB BC BD EC EC EC 00 00 B5 00 7C 2E 7C 2E 7C 2E 01 34 00 00 00 00
1	11	C5 C6 CE CC CD CA CB CC CD CA CB CC CD C4 C5 C6 C7 00 A5 00 01 3E 01 65 66 3E 01 42 00 35 36 00
1	12	D5 D6 DE 00 00 00 00 00 80 81 82 83 00 D4 D5 D6 D7 00 A5 00 01 3E 01 75 76 3E 01 68 44 45 46 00
1	13	E5 E6 FC 00 00 00 00 00 90 91 92 93 00 FC E5 E6 00 00 A5 00 01 3E 01 3E 01 3E 01 3E 54 55 56 00
1	14	F5 F6 FC 00 00 00 00 00 A0 A1 A2 A3 00 FC F5 F6 00 00 A5 00 5E 5F 00 00 00 00 5E 5F 3A 3B 3C 00
1	15	DC DC DD 00 50 51 51 51 B0 B1 B2 B3 00 DC DC DD 00 00 A5 00 1E 1F F7 FA FA FA 1E 1F 4A 4B 4C 00
