frame	label	cpu_addr	value	active_expected_match	record_snapshot
646	opening_ptr_182_korean_16x16_readability_proof	$B1A6	81	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
648	opening_ptr_182_korean_16x16_readability_proof	$B1A7	82	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
650	opening_ptr_182_korean_16x16_readability_proof	$B1A8	83	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
652	opening_ptr_182_korean_16x16_readability_proof	$B1A9	84	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
654	opening_ptr_182_korean_16x16_readability_proof	$B1AA	85	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
656	opening_ptr_182_korean_16x16_readability_proof	$B1AB	86	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
658	opening_ptr_182_korean_16x16_readability_proof	$B1AC	C8	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
660	opening_ptr_182_korean_16x16_readability_proof	$B1AD	C9	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
662	opening_ptr_182_korean_16x16_readability_proof	$B1AE	00	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
664	opening_ptr_182_korean_16x16_readability_proof	$B1AF	87	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
666	opening_ptr_182_korean_16x16_readability_proof	$B1B0	88	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
