frame	label	cpu_addr	value	active_expected_match	record_snapshot
646	opening_ptr_182_korean_slot_expansion	$B1A6	81	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
648	opening_ptr_182_korean_slot_expansion	$B1A7	82	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
650	opening_ptr_182_korean_slot_expansion	$B1A8	83	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
652	opening_ptr_182_korean_slot_expansion	$B1A9	84	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
654	opening_ptr_182_korean_slot_expansion	$B1AA	BB	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
656	opening_ptr_182_korean_slot_expansion	$B1AB	00	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
658	opening_ptr_182_korean_slot_expansion	$B1AC	85	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
660	opening_ptr_182_korean_slot_expansion	$B1AD	86	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
662	opening_ptr_182_korean_slot_expansion	$B1AE	87	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
664	opening_ptr_182_korean_slot_expansion	$B1AF	88	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
666	opening_ptr_182_korean_slot_expansion	$B1B0	89	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
668	opening_ptr_182_korean_slot_expansion	$B1B1	CA	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
670	opening_ptr_182_korean_slot_expansion	$B1B2	F8	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
670	opening_ptr_182_korean_slot_expansion	$B1B3	8C	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
672	opening_ptr_182_korean_slot_expansion	$B1B4	8D	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
674	opening_ptr_182_korean_slot_expansion	$B1B5	00	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
676	opening_ptr_182_korean_slot_expansion	$B1B6	8E	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
678	opening_ptr_182_korean_slot_expansion	$B1B7	8F	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
680	opening_ptr_182_korean_slot_expansion	$B1B8	90	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
682	opening_ptr_182_korean_slot_expansion	$B1B9	00	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
684	opening_ptr_182_korean_slot_expansion	$B1BA	91	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
686	opening_ptr_182_korean_slot_expansion	$B1BB	92	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
688	opening_ptr_182_korean_slot_expansion	$B1BC	90	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
690	opening_ptr_182_korean_slot_expansion	$B1BD	93	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
692	opening_ptr_182_korean_slot_expansion	$B1BE	CA	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
694	opening_ptr_182_korean_slot_expansion	$B1BF	00	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
696	opening_ptr_182_korean_slot_expansion	$B1C0	00	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
698	opening_ptr_182_korean_slot_expansion	$B1C1	00	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
700	opening_ptr_182_korean_slot_expansion	$B1C2	00	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
702	opening_ptr_182_korean_slot_expansion	$B1C3	00	true	81 82 83 84 BB 00 85 86 87 88 89 CA F8 8C 8D 00 8E 8F 90 00 91 92 90 93 CA 00 00 00 00 00 00 00 00 00 00 00 FF
