frame	role	address	value	pc	y	source_byte	mapper_control	mapper_select	ppu_control	r0	r1	r2	r3	r4	r5	r6	r7
646	top	7139	81	95AE	00	81	07	7	88	3C	46	30	31	32	33	02	03
646	bottom	713A	A1	95B3	00	81	07	7	88	3C	46	30	31	32	33	02	03
648	top	713F	82	95AE	01	82	07	7	8C	3C	46	30	31	32	33	02	03
648	bottom	7140	A2	95B3	01	82	07	7	8C	3C	46	30	31	32	33	02	03
650	top	7145	83	95AE	02	83	07	7	8C	3C	46	30	31	32	33	02	03
650	bottom	7146	A3	95B3	02	83	07	7	8C	3C	46	30	31	32	33	02	03
652	top	714B	84	95AE	03	84	07	7	8C	3C	46	30	31	32	33	02	03
652	bottom	714C	A4	95B3	03	84	07	7	8C	3C	46	30	31	32	33	02	03
654	top	7151	85	95AE	04	85	07	7	8C	3C	46	30	31	32	33	02	03
654	bottom	7152	A5	95B3	04	85	07	7	8C	3C	46	30	31	32	33	02	03
656	top	7157	86	95AE	05	86	07	7	8C	3C	46	30	31	32	33	02	03
656	bottom	7158	A6	95B3	05	86	07	7	8C	3C	46	30	31	32	33	02	03
658	top	715D	87	95AE	06	87	07	7	8C	3C	46	30	31	32	33	02	03
658	bottom	715E	A7	95B3	06	87	07	7	8C	3C	46	30	31	32	33	02	03
660	top	7163	88	95AE	07	88	07	7	8C	3C	46	30	31	32	33	02	03
660	bottom	7164	A8	95B3	07	88	07	7	8C	3C	46	30	31	32	33	02	03
662	top	7169	C8	95AE	08	C8	07	7	8C	3C	46	30	31	32	33	02	03
662	bottom	716A	E8	95B3	08	C8	07	7	8C	3C	46	30	31	32	33	02	03
664	top	716F	C9	95AE	09	C9	07	7	8C	3C	46	30	31	32	33	02	03
664	bottom	7170	E9	95B3	09	C9	07	7	8C	3C	46	30	31	32	33	02	03
666	top	7175	B1	95AE	0A	00	07	7	8C	3C	46	30	31	32	33	02	03
666	bottom	7176	00	95B3	0A	00	07	7	8C	3C	46	30	31	32	33	02	03
668	top	717B	89	95AE	0B	89	07	7	8C	3C	46	30	31	32	33	02	03
668	bottom	717C	A9	95B3	0B	89	07	7	8C	3C	46	30	31	32	33	02	03
670	top	7181	8A	95AE	0C	8A	07	7	8C	3C	46	30	31	32	33	02	03
670	bottom	7182	AA	95B3	0C	8A	07	7	8C	3C	46	30	31	32	33	02	03
672	top	7187	8B	95AE	0D	8B	07	7	8C	3C	46	30	31	32	33	02	03
672	bottom	7188	AB	95B3	0D	8B	07	7	8C	3C	46	30	31	32	33	02	03
674	top	718D	8C	95AE	0E	8C	07	7	8C	3C	46	30	31	32	33	02	03
674	bottom	718E	AC	95B3	0E	8C	07	7	8C	3C	46	30	31	32	33	02	03
676	top	7193	B1	95AE	0F	CA	07	7	8C	3C	46	30	31	32	33	02	03
676	bottom	7194	CA	95B3	0F	CA	07	7	8C	3C	46	30	31	32	33	02	03
678	top	7199	B1	95AE	10	00	07	7	8C	3C	46	30	31	32	33	02	03
678	bottom	719A	00	95B3	10	00	07	7	8C	3C	46	30	31	32	33	02	03
