frame	address	value	pc	a	x	y	stream_05	stream_07	code_bytes
646	B1A6	81	915A	B1	00	00	0000	0000	C9 FF F0 1D 48 29 F0 C9
648	B1A7	82	915A	B1	00	01	0000	0000	C9 FF F0 1D 48 29 F0 C9
650	B1A8	83	915A	B1	00	02	0000	0000	C9 FF F0 1D 48 29 F0 C9
652	B1A9	84	915A	B1	00	03	0000	0000	C9 FF F0 1D 48 29 F0 C9
654	B1AA	85	915A	B1	00	04	0000	0000	C9 FF F0 1D 48 29 F0 C9
656	B1AB	86	915A	B1	00	05	0000	0000	C9 FF F0 1D 48 29 F0 C9
658	B1AC	87	915A	B1	00	06	0000	0000	C9 FF F0 1D 48 29 F0 C9
660	B1AD	88	915A	B1	00	07	0000	0000	C9 FF F0 1D 48 29 F0 C9
662	B1AE	C8	915A	B1	00	08	0000	0000	C9 FF F0 1D 48 29 F0 C9
664	B1AF	C9	915A	B1	00	09	0000	0000	C9 FF F0 1D 48 29 F0 C9
666	B1B0	00	915A	B1	00	0A	0000	0000	C9 FF F0 1D 48 29 F0 C9
668	B1B1	89	915A	B1	00	0B	0000	0000	C9 FF F0 1D 48 29 F0 C9
670	B1B2	8A	915A	B1	00	0C	0000	0000	C9 FF F0 1D 48 29 F0 C9
672	B1B3	8B	915A	B1	00	0D	0000	0000	C9 FF F0 1D 48 29 F0 C9
674	B1B4	8C	915A	B1	00	0E	0000	0000	C9 FF F0 1D 48 29 F0 C9
676	B1B5	CA	915A	B1	00	0F	0000	0000	C9 FF F0 1D 48 29 F0 C9
678	B1B6	00	915A	B1	00	10	0000	0000	C9 FF F0 1D 48 29 F0 C9
680	B1B7	FF	915A	B1	00	11	0000	0000	C9 FF F0 1D 48 29 F0 C9
