frame	role	address	value	pc	y	source_byte	mapper_control	mapper_select	ppu_control	r0	r1	r2	r3	r4	r5	r6	r7
646	top	7139	81	95AE	00	81	07	7	88	3C	3E	30	31	32	33	02	03
646	bottom	713A	A1	95B3	00	81	07	7	88	3C	3E	30	31	32	33	02	03
648	top	713F	82	95AE	01	82	07	7	8C	3C	3E	30	31	32	33	02	03
648	bottom	7140	A2	95B3	01	82	07	7	8C	3C	3E	30	31	32	33	02	03
650	top	7145	83	95AE	02	83	07	7	8C	3C	3E	30	31	32	33	02	03
650	bottom	7146	A3	95B3	02	83	07	7	8C	3C	3E	30	31	32	33	02	03
652	top	714B	84	95AE	03	84	07	7	8C	3C	3E	30	31	32	33	02	03
652	bottom	714C	A4	95B3	03	84	07	7	8C	3C	3E	30	31	32	33	02	03
654	top	7151	85	95AE	04	85	07	7	8C	3C	3E	30	31	32	33	02	03
654	bottom	7152	A5	95B3	04	85	07	7	8C	3C	3E	30	31	32	33	02	03
656	top	7157	86	95AE	05	86	07	7	8C	3C	3E	30	31	32	33	02	03
656	bottom	7158	A6	95B3	05	86	07	7	8C	3C	3E	30	31	32	33	02	03
658	top	715D	87	95AE	06	87	07	7	8C	3C	3E	30	31	32	33	02	03
658	bottom	715E	A7	95B3	06	87	07	7	8C	3C	3E	30	31	32	33	02	03
660	top	7163	88	95AE	07	88	07	7	8C	3C	3E	30	31	32	33	02	03
660	bottom	7164	A8	95B3	07	88	07	7	8C	3C	3E	30	31	32	33	02	03
662	top	7169	C8	95AE	08	C8	07	7	8C	3C	3E	30	31	32	33	02	03
662	bottom	716A	E8	95B3	08	C8	07	7	8C	3C	3E	30	31	32	33	02	03
664	top	716F	C9	95AE	09	C9	07	7	8C	3C	3E	30	31	32	33	02	03
664	bottom	7170	E9	95B3	09	C9	07	7	8C	3C	3E	30	31	32	33	02	03
666	top	7175	B1	95AE	0A	00	07	7	8C	3C	3E	30	31	32	33	02	03
666	bottom	7176	00	95B3	0A	00	07	7	8C	3C	3E	30	31	32	33	02	03
668	top	717B	89	95AE	0B	89	07	7	8C	3C	3E	30	31	32	33	02	03
668	bottom	717C	A9	95B3	0B	89	07	7	8C	3C	3E	30	31	32	33	02	03
670	top	7181	8A	95AE	0C	8A	07	7	8C	3C	3E	30	31	32	33	02	03
670	bottom	7182	AA	95B3	0C	8A	07	7	8C	3C	3E	30	31	32	33	02	03
672	top	7187	8B	95AE	0D	8B	07	7	8C	3C	3E	30	31	32	33	02	03
672	bottom	7188	AB	95B3	0D	8B	07	7	8C	3C	3E	30	31	32	33	02	03
674	top	718D	8C	95AE	0E	8C	07	7	8C	3C	3E	30	31	32	33	02	03
674	bottom	718E	AC	95B3	0E	8C	07	7	8C	3C	3E	30	31	32	33	02	03
676	top	7193	B1	95AE	0F	00	07	7	8C	3C	3E	30	31	32	33	02	03
676	bottom	7194	00	95B3	0F	00	07	7	8C	3C	3E	30	31	32	33	02	03
678	top	7199	8D	95AE	10	8D	07	7	8C	3C	3E	30	31	32	33	02	03
678	bottom	719A	AD	95B3	10	8D	07	7	8C	3C	3E	30	31	32	33	02	03
680	top	719F	8E	95AE	11	8E	07	7	8C	3C	3E	30	31	32	33	02	03
680	bottom	71A0	AE	95B3	11	8E	07	7	8C	3C	3E	30	31	32	33	02	03
682	top	71A5	8F	95AE	12	8F	07	7	8C	3C	3E	30	31	32	33	02	03
682	bottom	71A6	AF	95B3	12	8F	07	7	8C	3C	3E	30	31	32	33	02	03
684	top	71AB	90	95AE	13	90	07	7	8C	3C	3E	30	31	32	33	02	03
684	bottom	71AC	B0	95B3	13	90	07	7	8C	3C	3E	30	31	32	33	02	03
686	top	71B1	91	95AE	14	91	07	7	8C	3C	3E	30	31	32	33	02	03
686	bottom	71B2	B1	95B3	14	91	07	7	8C	3C	3E	30	31	32	33	02	03
688	top	71B7	92	95AE	15	92	07	7	8C	3C	3E	30	31	32	33	02	03
688	bottom	71B8	B2	95B3	15	92	07	7	8C	3C	3E	30	31	32	33	02	03
690	top	71BD	B1	95AE	16	CA	07	7	8C	3C	3E	30	31	32	33	02	03
690	bottom	71BE	CA	95B3	16	CA	07	7	8C	3C	3E	30	31	32	33	02	03
692	top	71C3	93	95AE	18	93	07	7	8C	3C	3E	30	31	32	33	02	03
692	bottom	71C4	B3	95B3	18	93	07	7	8C	3C	3E	30	31	32	33	02	03
694	top	71C9	94	95AE	19	94	07	7	8C	3C	3E	30	31	32	33	02	03
694	bottom	71CA	B4	95B3	19	94	07	7	8C	3C	3E	30	31	32	33	02	03
696	top	71CF	95	95AE	1A	95	07	7	8C	3C	3E	30	31	32	33	02	03
696	bottom	71D0	B5	95B3	1A	95	07	7	8C	3C	3E	30	31	32	33	02	03
698	top	71D5	96	95AE	1B	96	07	7	8C	3C	3E	30	31	32	33	02	03
698	bottom	71D6	B6	95B3	1B	96	07	7	8C	3C	3E	30	31	32	33	02	03
700	top	71DB	B1	95AE	1C	00	07	7	8C	3C	3E	30	31	32	33	02	03
700	bottom	71DC	00	95B3	1C	00	07	7	8C	3C	3E	30	31	32	33	02	03
702	top	71E1	97	95AE	1D	97	07	7	8C	3C	3E	30	31	32	33	02	03
702	bottom	71E2	B7	95B3	1D	97	07	7	8C	3C	3E	30	31	32	33	02	03
704	top	71E7	98	95AE	1E	98	07	7	8C	3C	3E	30	31	32	33	02	03
704	bottom	71E8	B8	95B3	1E	98	07	7	8C	3C	3E	30	31	32	33	02	03
706	top	71ED	99	95AE	1F	99	07	7	8C	3C	3E	30	31	32	33	02	03
706	bottom	71EE	B9	95B3	1F	99	07	7	8C	3C	3E	30	31	32	33	02	03
708	top	71F3	9A	95AE	20	9A	07	7	8C	3C	3E	30	31	32	33	02	03
708	bottom	71F4	BA	95B3	20	9A	07	7	8C	3C	3E	30	31	32	33	02	03
