frame	label	cpu_addr	value	active_expected_match	record_snapshot
1027	opening_ptr_182_184_korean_p183	$B1C6	85	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1029	opening_ptr_182_184_korean_p183	$B1C7	86	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1031	opening_ptr_182_184_korean_p183	$B1C8	99	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1033	opening_ptr_182_184_korean_p183	$B1C9	9A	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1035	opening_ptr_182_184_korean_p183	$B1CA	9B	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1037	opening_ptr_182_184_korean_p183	$B1CB	9C	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1039	opening_ptr_182_184_korean_p183	$B1CC	BB	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1041	opening_ptr_182_184_korean_p183	$B1CD	00	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1043	opening_ptr_182_184_korean_p183	$B1CE	81	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1045	opening_ptr_182_184_korean_p183	$B1CF	82	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1047	opening_ptr_182_184_korean_p183	$B1D0	83	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1049	opening_ptr_182_184_korean_p183	$B1D1	84	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1051	opening_ptr_182_184_korean_p183	$B1D2	85	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1053	opening_ptr_182_184_korean_p183	$B1D3	86	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1055	opening_ptr_182_184_korean_p183	$B1D4	CA	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1057	opening_ptr_182_184_korean_p183	$B1D5	C1	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1059	opening_ptr_182_184_korean_p183	$B1D6	C2	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1061	opening_ptr_182_184_korean_p183	$B1D7	C3	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1063	opening_ptr_182_184_korean_p183	$B1D8	C4	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1065	opening_ptr_182_184_korean_p183	$B1D9	C5	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1067	opening_ptr_182_184_korean_p183	$B1DA	C6	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1069	opening_ptr_182_184_korean_p183	$B1DB	C7	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1071	opening_ptr_182_184_korean_p183	$B1DC	C8	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1073	opening_ptr_182_184_korean_p183	$B1DD	CA	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
1075	opening_ptr_182_184_korean_p183	$B1DE	FF	true	85 86 99 9A 9B 9C BB 00 81 82 83 84 85 86 CA C1 C2 C3 C4 C5 C6 C7 C8 CA FF
