id	pointer_index	pointer_rom_offset	prg_bank	jp_pointer_cpu	en_pointer_cpu	jp_rom_offset	en_rom_offset	jp_length	en_length	jp_bytes	en_bytes	english_reference	target_scope	english_pointer_changed	conservative_catalog_status	korean_work_status	screen_context	route_requirement	notes
PTR-000	0	0x05DD4	1	0x9FD7	0x9FD6	0x05FE7	0x05FE6	34	44	F0 BB 8A 8A AD 00 94 85 AE 95 8D B4 90 86 A7 96 AF F8 F9 00 8C B7 83 1C 8C 93 A3 A7 82 A4 8D 0E CA FF	F0 BB 00 93 8F 00 86 89 87 88 94 00 8D 85 00 8F 92 00 89 00 81 89 8E B6 94 F8 8C 85 94 94 89 8E 87 00 99 8F 95 00 90 81 93 93 CA FF	<F0><BB><00>SO<00>FIGHT<00>ME<00>OR<00>I<00>AIN<B6>T<F8>LETTING<00>YOU<00>PASS<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-001	1	0x05DD6	1	0x9FF9	0xA002	0x06009	0x06012	11	14	F0 BB A6 00 A6 AC 8D 07 A9 CB FF	F0 BB 00 88 8F 8C 99 00 93 88 89 94 CA FF	<F0><BB><00>HOLY<00>SHIT<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-002	2	0x05DD8	1	0xA004	0xA010	0x06014	0x06020	14	25	F0 BB 9F 90 00 81 82 8C A4 8C 90 98 CD FF	F0 BB 00 81 88 71 93 8F CA 00 97 85 00 8D 85 85 94 00 81 87 81 89 8E BA FF	<F0><BB><00>AH<71>SO<CA><00>WE<00>MEET<00>AGAIN<BA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-003	3	0x05DDA	1	0xA012	0xA029	0x06022	0x06039	50	43	F0 BB 8F 85 82 A4 AF 00 A0 B7 83 95 9C 90 A8 08 A0 06 82 A4 8C 90 98 F8 F9 00 85 A2 B2 8B AE 06 00 8B 06 8C 93 A9 A4 92 A7 96 00 91 09 B2 98 B2 A6 FF	F0 BB 00 92 85 8D 85 8D 82 85 92 00 94 88 8F 93 85 00 84 95 84 85 93 CC F8 94 88 85 99 B6 92 85 00 94 88 85 00 8F 8E 85 93 CA FF	<F0><BB><00>REMEMBER<00>THOSE<00>DUDES<CC><F8>THEY<B6>RE<00>THE<00>ONES<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-004	4	0x05DDC	1	0xA044	0xA054	0x06054	0x06064	42	29	F0 BB 85 A2 B2 8B AE 06 90 00 A6 8F A3 AE 99 88 8E 96 F8 F9 00 A2 B4 5E 83 00 92 84 B2 B4 93 9A 95 8C 0C B5 98 B2 86 82 CC FF	F0 BB 00 88 8F 97 00 84 89 84 00 99 8F 95 00 82 85 81 94 F8 8D 99 00 82 8F 99 93 CC FF	<F0><BB><00>HOW<00>DID<00>YOU<00>BEAT<F8>MY<00>BOYS<CC><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-005	5	0x05DDE	1	0xA06E	0xA071	0x0607E	0x06081	11	25	F0 BB 92 A6 88 98 B2 86 82 CC FF	F0 BB 00 99 8F 95 00 86 89 87 88 94 00 8C 89 8B 85 00 81 00 97 95 93 CA FF	<F0><BB><00>YOU<00>FIGHT<00>LIKE<00>A<00>WUS<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-006	6	0x05DE0	1	0xA079	0xA08A	0x06089	0x0609A	25	27	F0 BB 85 A0 8F AA 8C A4 8C 90 B4 00 95 86 9F 96 8C 93 85 88 AE 95 8E B2 FF	F0 BB 00 90 8C 85 81 93 85 00 8C 85 94 00 8D 85 00 8A 8F 89 8E 00 99 8F 95 CA FF	<F0><BB><00>PLEASE<00>LET<00>ME<00>JOIN<00>YOU<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-007	7	0x05DE2	1	0xA092	0xA0A5	0x060A2	0x060B5	11	20	F0 BB A6 AC 88 98 B2 86 82 CC FF	F0 BB 00 88 85 00 81 89 8E B6 94 00 8E 8F 94 88 89 8E B6 CB	<F0><BB><00>HE<00>AIN<B6>T<00>NOTHIN<B6><CB>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-008	8	0x05DE4	1	0xA09D	0xA0B9	0x060AD	0x060C9	22	21	F0 BB 81 B4 8C A3 92 AA 93 82 B4 93 85 88 AE 95 8B 82 A6 B3 CA FF	FF F0 BB 00 8C 85 94 00 8D 85 00 83 8F 8D 85 00 94 8F 8F CA FF	<FF><F0><BB><00>LET<00>ME<00>COME<00>TOO<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-009	9	0x05DE6	1	0xA0B3	0xB0DF	0x060C3	0x070EF	16	23	F0 BB FA 8B AE 13 CC 00 85 93 81 AC 8E AD CA FF	F0 BB 00 8F 8B B9 00 FA B9 00 8C 85 94 B6 93 00 86 89 87 88 94 CA FF	<F0><BB><00>OK<B9><00><FA><B9><00>LET<B6>S<00>FIGHT<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-010	10	0x05DE8	1	0xA0C3	0xA0E3	0x060D3	0x060F3	47	31	F0 BB A2 84 A8 A4 8C 90 CA 00 8B 8D 06 CB 00 A4 92 99 82 B4 90 94 85 A8 10 F8 F9 00 81 B4 8C A3 00 95 96 86 00 91 86 A7 96 95 A8 A4 8D A6 FF	F0 BB 00 89 80 87 89 96 85 80 95 90 CA F8 99 8F 95 B6 92 85 80 94 8F 8F 80 87 8F 8F 84 CA FF	<F0><BB><00>I GIVE UP<CA><F8>YOU<B6>RE TOO GOOD<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-011	11	0x05DEA	1	0xA0F2	0xA119	0x06102	0x06129	25	30	F0 BB 93 84 8C 90 8A 94 81 A8 A4 8E AE 98 CB 00 8A AE 95 9A 0D 13 9A CB FF	F0 BB 00 99 8F 95 00 81 89 8E B6 94 00 93 85 85 8E 00 8E 8F 94 88 89 8E F8 99 85 94 CA FF	<F0><BB><00>YOU<00>AIN<B6>T<00>SEEN<00>NOTHIN<F8>YET<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-012	12	0x05DEC	1	0xA10B	0xA137	0x0611B	0x06147	8	7	F0 BB 8F AA 13 9A CA FF	F0 BB 00 8F 8B CA FF	<F0><BB><00>OK<CA><FF>	bank1_after_pointer_table	true	missing	structural_unknown_missing_conservative_row	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the complete English-guided pointer map but absent from the conservative catalog; investigate before translation.
PTR-013	13	0x05DEE	1	0xA113	0xA13E	0x06123	0x0614E	15	19	F0 BB 8D 89 10 91 00 82 90 8C A4 8D CA CA FF	F0 BB 00 8C 85 8D 8D 85 00 8B 89 83 8B 00 88 89 8D CA FF	<F0><BB><00>LEMME<00>KICK<00>HIM<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-014	14	0x05DF0	1	0xA122	0xA151	0x06132	0x06161	38	17	F0 BB 8A 9F 89 84 8A 94 9A 00 82 82 B4 8A 95 8C 10 F8 F9 00 85 A2 84 8B AE 96 B5 AF 00 8E AC AE 95 B4 90 0E CA FF	F0 BB 00 94 88 81 8E 8B 93 00 81 00 8C 8F 94 CA FF	<F0><BB><00>THANKS<00>A<00>LOT<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
