frame	target	offset	representation	cpu_addr	bytes	ppu_fingerprint	ppu_write_count
280	EN-PRE-104	05AAD	korean	$9A9D	81 FF FF FF FF FF	82E819C9	11098
280	EN-PRE-105	05AB3	korean	$9AA3	81 82 FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-107	05AC2	korean	$9AB2	83 84 FF FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-108	05ACB	korean	$9ABB	85 86 FF FF FF FF	82E819C9	11098
280	EN-PRE-111	05AE2	korean	$9AD2	87 88 84 FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-112	05AEB	korean	$9ADB	84 89 FF FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-116	05B0B	korean	$9AFB	8A 8B FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-117	05B13	korean	$9B03	8C 8D FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-118	05B1B	korean	$9B0B	8E FF FF FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-119	05B24	korean	$9B14	8F FF FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-122	05B3D	korean	$9B2D	90 91 FF FF FF FF FF	82E819C9	11098
280	EN-PRE-123	05B44	korean	$9B34	92 FF FF FF FF	82E819C9	11098
280	EN-PRE-124	05B49	korean	$9B39	93 FF FF FF FF	82E819C9	11098
280	EN-PRE-125	05B4E	korean	$9B3E	94 FF FF FF FF	82E819C9	11098
280	EN-PRE-129	05B61	korean	$9B51	95 FF FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-130	05B69	korean	$9B59	96 FF FF FF FF FF	82E819C9	11098
280	EN-PRE-131	05B6F	korean	$9B5F	97 98 92 FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-133	05B7F	korean	$9B6F	92 FF FF FF FF FF	82E819C9	11098
280	EN-PRE-134	05B85	korean	$9B75	96 FF FF FF FF FF	82E819C9	11098
280	EN-PRE-135	05B8B	korean	$9B7B	99 FF FF FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-138	05BA2	korean	$9B92	99 FF FF FF FF FF FF	82E819C9	11098
280	EN-PRE-185	05CE0	korean	$9CD0	9A FF FF FF FF	82E819C9	11098
