record_id,context,rom_offset,raw_bytes,english_text,normalized_key,korean_text,translation_source,payload_length,korean_length,length_delta,control_bytes,missing_glyphs,runtime_evidence,readiness,patch_authorized
EN-NAME-000,Bank 1 name-table area,0x0561B,8B 95 8E 89 8F 92 89 8B 89 FF,KUNIORIKI<FF>,KUNIORIKI,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-001,Bank 1 name-table area,0x05625,82 95 8E 9A 8F 8A 95 95 8B 89 94 93 95 89 FF,BUNZOJUUKITSUI<FF>,BUNZOJUUKITSUI,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-002,Bank 1 name-table area,0x05634,94 81 94 93 95 99 81 87 8F FF,TATSUYAGO<FF>,TATSUYAGO,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-003,Bank 1 name-table area,0x0563E,8A 89 8E 92 8F 88 85 89 93 89 8B 89 8E 93 95 94 81 8D 85 FF,JINROHEISIKINSUTAME<FF>,JINROHEISIKINSUTAME,,,19,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-004,Bank 1 name-table area,0x05652,87 8F 8E 93 81 87 89 8E 90 81 89 83 88 89 FF,GONSAGINPAICHI<FF>,GONSAGINPAICHI,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-005,Bank 1 name-table area,0x05661,92 8F 8B 95 FF,ROKU<FF>,ROKU,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-006,Bank 1 name-table area,0x05666,94 93 95 95 FF,TSUU<FF>,TSUU,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-007,Bank 1 name-table area,0x0566B,81 93 81 8A 89 99 8F 8E 8F FF,ASAJIYONO<FF>,ASAJIYONO,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-008,Bank 1 name-table area,0x05675,94 8F 92 81 FF,TORA<FF>,TORA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-009,Bank 1 name-table area,0x0567A,88 81 8E FF,HAN<FF>,HAN,,,3,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-010,Bank 1 name-table area,0x0567E,FF,<FF>,,,,0,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-011,Bank 1 name-table area,0x0567F,8E 89 9A 81 85 88 85 89 92 95 71 71 71 FF,NIZAEHEIRU<71><71><71><FF>,NIZAEHEIRU,,,13,0,,0x71 0x71 0x71,,none,UNMAPPED_GLOSSARY,False
EN-NAME-012,Bank 1 name-table area,0x0568D,8F 82 89 8E 81 8D 81 94 93 95 8F 8B 8F 94 8F FF,OBINAMATSUOKOTO<FF>,OBINAMATSUOKOTO,,,15,0,,,,none,UNMAPPED_GLOSSARY,False
