frame	target	rom_offset	cpu_addr	bytes	ppu_hash	ppu_writes
4	EN-PRE-197	0x05D1B	$9D0B	FF	00000000	0
270	EN-PRE-000	0x056BC	$96AC	99 95 8B 89 FF	2023F469	11096
270	EN-PRE-001	0x056C1	$96B1	89 94 8F 8B 89 93 81 8B 89 FF	2023F469	11096
270	EN-PRE-002	0x056CB	$96BB	94 81 8D 8F FF	2023F469	11096
270	EN-PRE-003	0x056D0	$96C0	93 81 89 9A 8F 88 81 87 89 FF	2023F469	11096
270	EN-PRE-004	0x056DA	$96CA	88 81 93 88 89 8B 8F 93 95 FF	2023F469	11096
270	EN-PRE-005	0x056E4	$96D4	88 81 8E 93 95 8B 8F 95 85 FF	2023F469	11096
270	EN-PRE-006	0x056EE	$96DE	88 89 92 81 FF	2023F469	11096
270	EN-PRE-007	0x056F3	$96E3	88 89 84 85 FF	2023F469	11096
270	EN-PRE-008	0x056F8	$96E8	81 93 88 89 FF	2023F469	11096
270	EN-PRE-009	0x056FD	$96ED	82 85 8E FF	2023F469	11096
270	EN-PRE-010	0x05701	$96F1	FF	2023F469	11096
270	EN-PRE-011	0x05702	$96F2	93 81 89 94 81 8D 8F 85 8D 8F 8D 95 92 81 FF	2023F469	11096
270	EN-PRE-012	0x05711	$9701	93 81 84 81 FF	2023F469	11096
270	EN-PRE-013	0x05716	$9706	93 85 8B 89 FF	2023F469	11096
270	EN-PRE-014	0x0571B	$970B	99 8F 94 93 95 94 8F 8D 8F FF	2023F469	11096
270	EN-PRE-015	0x05725	$9715	8B 95 8D 81 FF	2023F469	11096
270	EN-PRE-016	0x0572A	$971A	97 81 94 81 FF	2023F469	11096
270	EN-PRE-017	0x0572F	$971F	95 92 81 85 FF	2023F469	11096
270	EN-PRE-018	0x05734	$9724	94 8F 8D 85 FF	2023F469	11096
270	EN-PRE-019	0x05739	$9729	8F 8E 8F 8B 89 99 81 94 81 FF	2023F469	11096
270	EN-PRE-020	0x05743	$9733	89 93 8F 92 8F 92 89 88 85 89 83 88 89 85 FF	2023F469	11096
270	EN-PRE-021	0x05752	$9742	93 95 8D 89 FF	2023F469	11096
270	EN-PRE-022	0x05757	$9747	93 88 89 8E FF	2023F469	11096
270	EN-PRE-023	0x0575C	$974C	8D 95 8E 85 FF	2023F469	11096
270	EN-PRE-024	0x05761	$9751	87 85 8E 93 95 8F 89 93 81 FF	2023F469	11096
270	EN-PRE-025	0x0576B	$975B	88 85 8D 8F FF	2023F469	11096
270	EN-PRE-026	0x05770	$9760	99 8F 94 81 FF	2023F469	11096
270	EN-PRE-027	0x05775	$9765	8B 81 8D 85 FF	2023F469	11096
270	EN-PRE-028	0x0577A	$976A	94 81 8B 89 FF	2023F469	11096
270	EN-PRE-029	0x0577F	$976F	88 89 93 81 FF	2023F469	11096
270	EN-PRE-030	0x05784	$9774	93 81 88 85 89 8B 89 93 95 FF	2023F469	11096
270	EN-PRE-031	0x0578E	$977E	8E 8F 92 89 FF	2023F469	11096
270	EN-PRE-032	0x05793	$9783	8B 8F 95 8B 89 93 95 85 8D 81 94 81 8B 85 FF	2023F469	11096
270	EN-PRE-033	0x057A2	$9792	95 8D 85 8D 81 82 8F 82 95 FF	2023F469	11096
270	EN-PRE-034	0x057AC	$979C	99 95 95 85 FF	2023F469	11096
270	EN-PRE-035	0x057B1	$97A1	99 8F 93 88 89 92 89 88 85 FF	2023F469	11096
270	EN-PRE-036	0x057BB	$97AB	88 81 83 88 89 84 85 9A 8F 95 8B 95 8D 89 FF	2023F469	11096
270	EN-PRE-037	0x057CA	$97BA	94 81 92 8F FF	2023F469	11096
270	EN-PRE-038	0x057CF	$97BF	95 92 81 93 81 99 8F 8E 85 FF	2023F469	11096
270	EN-PRE-039	0x057D9	$97C9	93 88 89 8D 81 94 85 92 95 FF	2023F469	11096
270	EN-PRE-040	0x057E3	$97D3	93 95 99 81 FF	2023F469	11096
270	EN-PRE-041	0x057E8	$97D8	8D 8F 92 89 FF	2023F469	11096
270	EN-PRE-042	0x057ED	$97DD	89 93 88 89 FF	2023F469	11096
270	EN-PRE-043	0x057F2	$97E2	93 81 8B 95 FF	2023F469	11096
270	EN-PRE-044	0x057F7	$97E7	95 92 81 8A 89 93 88 89 82 81 8A 8D 87 91 FF	2023F469	11096
270	EN-PRE-045	0x05806	$97F6	93 88 89 92 8F 8A 95 8E 9A 8F 89 8E 85 94 81 81 8B 89 9A 8F 99 95 92 89 FF	2023F469	11096
270	EN-PRE-046	0x0581F	$980F	93 95 94 85 FF	2023F469	11096
270	EN-PRE-047	0x05824	$9814	93 88 95 95 FF	2023F469	11096
270	EN-PRE-048	0x05829	$9819	85 82 89 8E 8F 83 88 89 8A 89 81 94 93 95 FF	2023F469	11096
270	EN-PRE-049	0x05838	$9828	8B 81 8E 81 FF	2023F469	11096
270	EN-PRE-050	0x0583D	$982D	93 95 8B 85 FF	2023F469	11096
270	EN-PRE-051	0x05842	$9832	87 8F 93 95 FF	2023F469	11096
270	EN-PRE-052	0x05847	$9837	94 93 95 8E 8F 8B 89 8B 95 FF	2023F469	11096
270	EN-PRE-053	0x05851	$9841	94 8F 93 88 89 94 93 95 8B 89 8F 82 89 93 81 99 81 93 95 FF	2023F469	11096
270	EN-PRE-054	0x05865	$9855	8B 85 8E 87 8F 8D 81 8E 93 89 8B 81 94 93 95 93 8F 8E 8F FF	2023F469	11096
270	EN-PRE-055	0x05879	$9869	87 8F 93 81 FF	2023F469	11096
270	EN-PRE-056	0x0587E	$986E	94 8F 95 82 85 9A 85 8E 85 FF	2023F469	11096
