frame	ppu_address	value	pc
6	2000	00	FDF5
6	2001	00	FDF5
6	2002	00	FDF5
6	2003	00	FDF5
6	2004	00	FDF5
6	2005	00	FDF5
6	2006	00	FDF5
6	2007	00	FDF5
6	2008	00	FDF5
6	2009	00	FDF5
6	200A	00	FDF5
6	200B	00	FDF5
6	200C	00	FDF5
6	200D	00	FDF5
6	200E	00	FDF5
6	200F	00	FDF5
6	2010	00	FDF5
6	2011	00	FDF5
6	2012	00	FDF5
6	2013	00	FDF5
6	2014	00	FDF5
6	2015	00	FDF5
6	2016	00	FDF5
6	2017	00	FDF5
6	2018	00	FDF5
6	2019	00	FDF5
6	201A	00	FDF5
6	201B	00	FDF5
6	201C	00	FDF5
6	201D	00	FDF5
6	201E	00	FDF5
6	201F	00	FDF5
6	2020	00	FDF5
6	2021	00	FDF5
6	2022	00	FDF5
6	2023	00	FDF5
6	2024	00	FDF5
6	2025	00	FDF5
6	2026	00	FDF5
6	2027	00	FDF5
6	2028	00	FDF5
6	2029	00	FDF5
6	202A	00	FDF5
6	202B	00	FDF5
6	202C	00	FDF5
6	202D	00	FDF5
6	202E	00	FDF5
6	202F	00	FDF5
6	2030	00	FDF5
6	2031	00	FDF5
6	2032	00	FDF5
6	2033	00	FDF5
6	2034	00	FDF5
6	2035	00	FDF5
6	2036	00	FDF5
6	2037	00	FDF5
6	2038	00	FDF5
6	2039	00	FDF5
6	203A	00	FDF5
6	203B	00	FDF5
6	203C	00	FDF5
6	203D	00	FDF5
6	203E	00	FDF5
6	203F	00	FDF5
6	2040	00	FDF5
6	2041	00	FDF5
6	2042	00	FDF5
6	2043	00	FDF5
6	2044	00	FDF5
6	2045	00	FDF5
6	2046	00	FDF5
6	2047	00	FDF5
6	2048	00	FDF5
6	2049	00	FDF5
6	204A	00	FDF5
6	204B	00	FDF5
6	204C	00	FDF5
6	204D	00	FDF5
6	204E	00	FDF5
6	204F	00	FDF5
6	2050	00	FDF5
6	2051	00	FDF5
6	2052	00	FDF5
6	2053	00	FDF5
6	2054	00	FDF5
6	2055	00	FDF5
6	2056	00	FDF5
6	2057	00	FDF5
6	2058	00	FDF5
6	2059	00	FDF5
6	205A	00	FDF5
6	205B	00	FDF5
6	205C	00	FDF5
6	205D	00	FDF5
6	205E	00	FDF5
6	205F	00	FDF5
6	2060	00	FDF5
6	2061	00	FDF5
6	2062	00	FDF5
6	2063	00	FDF5
6	2064	00	FDF5
6	2065	00	FDF5
6	2066	00	FDF5
6	2067	00	FDF5
6	2068	00	FDF5
6	2069	00	FDF5
6	206A	00	FDF5
6	206B	00	FDF5
6	206C	00	FDF5
6	206D	00	FDF5
6	206E	00	FDF5
6	206F	00	FDF5
6	2070	00	FDF5
6	2071	00	FDF5
6	2072	00	FDF5
6	2073	00	FDF5
6	2074	00	FDF5
6	2075	00	FDF5
6	2076	00	FDF5
6	2077	00	FDF5
6	2078	00	FDF5
6	2079	00	FDF5
6	207A	00	FDF5
6	207B	00	FDF5
6	207C	00	FDF5
6	207D	00	FDF5
6	207E	00	FDF5
6	207F	00	FDF5
6	2080	00	FDF5
6	2081	00	FDF5
6	2082	00	FDF5
6	2083	00	FDF5
6	2084	00	FDF5
6	2085	00	FDF5
6	2086	00	FDF5
