frame	target	rom_offset	cpu_addr	value	pc	ppu_hash
222	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	9E4599B6
222	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	9E4599B6
223	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	38E19EF9
224	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	B10B4319
225	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
226	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
227	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
228	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
229	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
230	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
231	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
232	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
233	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
234	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
235	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
236	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
237	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
238	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
239	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
240	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
241	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
242	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
243	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
244	EN-PRE-197	0x05D1B	$9D0B	F0	$8405	2023F469
312	EN-PRE-112	0x05AEB	$9ADE	C0	$8205	737F992D
312	EN-PRE-112	0x05AEB	$9ADF	C1	$8205	737F992D
312	EN-PRE-112	0x05AEB	$9AE0	D0	$8205	737F992D
312	EN-PRE-112	0x05AEB	$9AE1	D1	$8205	737F992D
312	EN-PRE-112	0x05AEB	$9AE2	E0	$8205	737F992D
312	EN-PRE-112	0x05AEB	$9AE3	E1	$8205	737F992D
312	EN-PRE-075	0x05914	$9906	C2	$8205	737F992D
