frame	reason	targets	matched	read_targets	captured	detail
0	lua_start	168	0	0	0	callbacks=1120
0	periodic	168	0	0	0	reads=0
0	periodic	168	0	0	0	reads=0
600	periodic	168	145	145	145	reads=2858
1200	periodic	168	145	145	145	reads=3390
1800	periodic	168	145	1	145	reads=3900
2400	periodic	168	145	1	145	reads=3900
3000	periodic	168	145	1	145	reads=4192
3600	periodic	168	145	1	145	reads=4580
4200	periodic	168	145	1	145	reads=4580
4800	periodic	168	145	1	145	reads=4580
5400	periodic	168	145	1	145	reads=4580
6000	periodic	168	145	1	145	reads=4580
6600	periodic	168	145	1	145	reads=4580
7200	lua_done	168	145	EN-PRE-000,EN-PRE-001,EN-PRE-002,EN-PRE-003,EN-PRE-004,EN-PRE-005,EN-PRE-006,EN-PRE-007,EN-PRE-008,EN-PRE-009,EN-PRE-010,EN-PRE-011,EN-PRE-012,EN-PRE-013,EN-PRE-014,EN-PRE-017,EN-PRE-018,EN-PRE-019,EN-PRE-020,EN-PRE-021,EN-PRE-022,EN-PRE-023,EN-PRE-024,EN-PRE-025,EN-PRE-026,EN-PRE-027,EN-PRE-028,EN-PRE-029,EN-PRE-030,EN-PRE-031,EN-PRE-032,EN-PRE-033,EN-PRE-034,EN-PRE-035,EN-PRE-036,EN-PRE-037,EN-PRE-038,EN-PRE-039,EN-PRE-040,EN-PRE-041,EN-PRE-042,EN-PRE-044,EN-PRE-045,EN-PRE-046,EN-PRE-047,EN-PRE-048,EN-PRE-051,EN-PRE-052,EN-PRE-053,EN-PRE-054,EN-PRE-055,EN-PRE-056,EN-PRE-057,EN-PRE-059,EN-PRE-060,EN-PRE-061,EN-PRE-062,EN-PRE-063,EN-PRE-064,EN-PRE-065,EN-PRE-066,EN-PRE-067,EN-PRE-068,EN-PRE-069,EN-PRE-070,EN-PRE-071,EN-PRE-072,EN-PRE-073,EN-PRE-074,EN-PRE-075,EN-PRE-076,EN-PRE-077,EN-PRE-078,EN-PRE-079,EN-PRE-081,EN-PRE-082,EN-PRE-083,EN-PRE-084,EN-PRE-085,EN-PRE-086,EN-PRE-087,EN-PRE-088,EN-PRE-090,EN-PRE-091,EN-PRE-092,EN-PRE-093,EN-PRE-095,EN-PRE-096,EN-PRE-104,EN-PRE-105,EN-PRE-107,EN-PRE-108,EN-PRE-111,EN-PRE-112,EN-PRE-116,EN-PRE-117,EN-PRE-118,EN-PRE-119,EN-PRE-122,EN-PRE-123,EN-PRE-124,EN-PRE-125,EN-PRE-126,EN-PRE-127,EN-PRE-128,EN-PRE-129,EN-PRE-130,EN-PRE-131,EN-PRE-132,EN-PRE-133,EN-PRE-134,EN-PRE-135,EN-PRE-136,EN-PRE-138,EN-PRE-151,EN-PRE-160,EN-PRE-169,EN-PRE-174,EN-PRE-175,EN-PRE-177,EN-PRE-178,EN-PRE-179,EN-PRE-180,EN-PRE-181,EN-PRE-183,EN-PRE-184,EN-PRE-185,EN-PRE-196,EN-PRE-197,EN-PRE-198,EN-PRE-200,EN-PRE-202,EN-PRE-204,EN-PRE-205,EN-PRE-207,EN-PRE-208,EN-PRE-210,EN-PRE-211,EN-PRE-212,EN-PRE-214,EN-PRE-215,EN-PRE-216,EN-PRE-217,EN-PRE-218,EN-PRE-220	145	callbacks=1120;reads=4580
