frame	reason	ram51	ram07fd	ram07fe	ram07ff	r1	saw_target	saw_restore
0	sample	00	FF	FF	FF	00	false	false
0	sample	00	FF	FF	FF	00	false	false
30	sample	00	00	00	00	3E	false	false
60	sample	00	00	00	00	3E	false	false
90	sample	00	00	00	00	3E	false	false
120	sample	00	00	00	00	3E	false	false
150	sample	00	00	00	00	3E	false	false
180	sample	00	00	00	00	3E	false	false
210	sample	00	00	00	00	3E	false	false
240	sample	00	00	DC	00	3E	false	false
270	sample	00	00	DC	00	3E	false	false
300	sample	00	00	DC	00	3E	false	false
330	sample	13	00	B6	04	86	true	false
360	sample	13	00	B6	04	86	true	false
390	sample	13	00	B6	04	86	true	false
420	sample	13	00	B6	04	86	true	false
450	sample	13	00	B6	04	86	true	false
480	sample	13	00	B6	04	86	true	false
510	sample	13	00	B6	04	86	true	false
540	sample	13	00	B6	04	86	true	false
570	sample	13	00	B6	04	86	true	false
600	sample	13	00	B6	04	86	true	false
630	sample	13	00	B6	04	86	true	false
660	sample	13	00	B6	04	86	true	false
690	sample	13	00	B6	04	86	true	false
720	sample	13	00	B6	04	86	true	false
750	sample	13	00	B6	04	86	true	false
780	sample	13	00	B6	04	86	true	false
810	sample	13	00	B6	04	86	true	false
840	sample	13	00	B6	04	86	true	false
870	sample	13	00	B6	04	86	true	false
900	sample	13	00	B6	04	86	true	false
930	sample	13	00	B6	04	86	true	false
960	sample	13	00	B6	04	86	true	false
990	sample	13	00	B6	04	86	true	false
1020	sample	13	00	B6	04	86	true	false
1050	sample	13	00	B6	04	86	true	false
1080	sample	13	00	B6	04	86	true	false
1110	sample	13	00	B6	04	86	true	false
1140	sample	13	00	B6	04	86	true	false
1170	sample	13	00	B6	04	86	true	false
1200	target_not_seen	13	00	B6	04	86	true	false
