frame	address	value	pc	a	x	y	sp	stack1	stack2	ram18	ram19	ram1A	ram1B
328	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
328	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
330	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
330	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
332	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
332	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
334	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
334	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
336	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
336	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
338	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
338	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
340	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
340	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
342	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
342	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
344	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
344	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
346	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
346	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
348	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
348	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
350	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
350	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
352	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
352	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
354	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
354	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
356	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
356	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
358	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
358	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
360	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
360	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
362	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
362	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
364	9F2E	88	914E	6C	00	6C	E8	08	91	00	00	90	00
364	9F2F	B1	9153	88	00	6C	E8	08	91	00	00	88	00
364	9F2E	88	914E	6C	01	6C	E8	08	91	00	00	88	B1
364	9F2F	B1	9153	88	01	6C	E8	08	91	00	00	88	B1
366	9F2E	88	914E	6C	01	6C	E8	08	91	00	00	90	00
366	9F2F	B1	9153	88	01	6C	E8	08	91	00	00	88	00
368	9F2E	88	914E	6C	01	6C	E8	08	91	00	00	90	00
368	9F2F	B1	9153	88	01	6C	E8	08	91	00	00	88	00
370	9F2E	88	914E	6C	01	6C	E8	08	91	00	00	90	00
370	9F2F	B1	9153	88	01	6C	E8	08	91	00	00	88	00
372	9F2E	88	914E	6C	01	6C	E8	08	91	00	00	90	00
372	9F2F	B1	9153	88	01	6C	E8	08	91	00	00	88	00
374	9F2E	88	914E	6C	01	6C	E8	08	91	00	00	90	00
374	9F2F	B1	9153	88	01	6C	E8	08	91	00	00	88	00
376	9F2E	88	914E	6C	01	6C	E8	08	91	00	00	90	00
376	9F2F	B1	9153	88	01	6C	E8	08	91	00	00	88	00
378	9F2E	88	914E	6C	01	6C	E8	08	91	00	00	90	00
378	9F2F	B1	9153	88	01	6C	E8	08	91	00	00	88	00
380	9F2E	88	914E	6C	01	6C	E8	08	91	00	00	90	00
380	9F2F	B1	9153	88	01	6C	E8	08	91	00	00	88	00
382	9F2E	88	914E	6C	01	6C	E8	08	91	00	00	90	00
382	9F2F	B1	9153	88	01	6C	E8	08	91	00	00	88	00
384	9F2E	88	914E	6C	01	6C	E8	08	91	00	00	90	00
384	9F2F	B1	9153	88	01	6C	E8	08	91	00	00	88	00
