frame	reason	fingerprint	screenshot	0720	0721	0722	0723	04F1	04FA	04FB	04FC	r0	r1	r2	r3	r4	r5	r6	r7	ppu_ctrl	state_writes
120	entry_screen_change	255657376:18768	true	00	00	00	00	12	3C	3D	3E	3C	3E	3C	3D	3E	3F	08	09	88
210	entry_screen_change	66564427:0	true	00	00	00	00	00	30	3D	3E	3C	3E	30	3D	3E	3F	0C	0D	88
302	entry_screen_change	721625565:2031	true	81	26	AC	39	02	30	31	32	00	02	30	31	32	33	02	03	0C
392	entry_screen_change	130795424:12282	true	24	24	24	6D	02	30	31	32	3C	3E	30	31	32	33	02	03	8C
652	entry_screen_change	241909700:10929	true	00	00	00	00	02	30	31	32	3C	3E	30	31	32	33	08	09	88
742	entry_screen_change	660352803:19005	true	F1	F0	11	92	12	3D	47	35	3C	3E	3D	47	35	40	04	05	88
915	combat_screen_change	66564427:0	true	00	00	00	00	12	42	47	35	3C	3E	30	31	32	33	0C	0D	08
1049	combat_screen_change	614806767:1029	true	56	1D	55	CC	01	42	47	35	04	06	42	47	35	40	0C	0D	08
1139	combat_screen_change	32862887:6342	true	72	32	69	DB	01	42	47	35	3C	3E	42	47	35	40	06	07	88
1229	combat_screen_change	473242676:7704	true	7D	3D	73	40	01	42	47	35	3C	3E	42	47	35	40	06	07	88
1319	combat_screen_change	119400820:8883	true	8D	50	83	DF	01	42	47	35	3C	3E	42	47	35	40	0A	0B	88
1444	combat_screen_change	97724761:8899	true	76	36	6F	DD	01	42	47	35	3C	3E	42	47	35	40	04	05	88
1651	combat_screen_change	160694453:9462	true	9B	5F	8D	ED	01	42	47	35	3C	3E	42	47	35	40	0C	0D	88
1866	combat_screen_change	66564427:0	true	00	00	00	00	01	42	47	35	3C	3E	42	47	35	40	0C	0D	08
1956	combat_screen_change	948319653:21012	true	F8	14	84	43	06	30	31	32	3C	3E	30	31	32	33	0C	0D	88
2046	combat_screen_change	994161077:19899	true	01	21	92	7C	06	30	31	32	3C	3E	30	31	32	33	0C	0D	88
2201	combat_screen_change	898968076:20223	true	FE	1E	8E	4C	06	30	31	32	3C	3E	30	31	32	33	0C	0D	8C
2291	combat_screen_change	66564427:0	true	00	00	00	00	01	5C	5D	5E	3C	3E	5C	5D	5E	5F	0C	0D	08
2381	combat_screen_change	82413568:7652	true	6E	50	63	3E	01	42	47	35	3C	3E	42	47	35	40	0C	0D	88
2471	combat_screen_change	701390374:8800	true	7B	3A	71	3C	01	42	47	35	3C	3E	42	47	35	40	0C	0D	8C
2621	combat_screen_change	174540558:10098	true	69	50	5B	3E	01	42	47	35	3C	3E	42	47	35	40	0A	0B	88
2711	combat_screen_change	933201262:9065	true	76	36	6F	DD	01	42	47	35	3C	3E	42	47	35	40	0A	0B	8C
3533	combat_screen_change	66564427:0	true	00	00	00	00	01	42	47	35	3C	3E	42	47	35	40	0C	0D	08
3623	combat_screen_change	608645475:21017	true	F8	14	84	43	06	30	31	32	3C	3E	30	31	32	33	0C	0D	88
7200	lua_done	608645475:21017	false									3C	0D	30	31	32	33	0C	0D	88
