translation_index,source,romaji,korean,category,section,candidate_count,candidate_offsets,best_score,candidate_pools,match_mode,status,runtime_status
1,ダウンタウンスペシャル,Dauntaun Supesharu,다운타운 스페셜,타이틀,1. 타이틀 화면,0,,,,none,no_static_candidate,not_runtime_proven
2,くにおくんの時代劇だよ全員集合！,Kunio-kun no Jidaigeki da yo Zenin Shuugou!,쿠니오군의 시대극이다 전원집합!,타이틀,1. 타이틀 화면,0,,,,none,no_static_candidate,not_runtime_proven
3,1991 TECHNOS JAPAN,—,1991 테크노스 재팬,타이틀,1. 타이틀 화면,0,,,,none,skipped_by_scanner,not_runtime_proven
4,プッシュ スタート ボタン,Pusshu Sutaato Botan,START 버튼,타이틀,1. 타이틀 화면,0,,,,none,no_static_candidate,not_runtime_proven
5,ゲームスタート,Geemu Sutaato,게임 시작,메뉴,2. 메뉴 / 설정 화면 텍스트,0,,,,none,no_static_candidate,not_runtime_proven
6,パスワード,Pasuwaado,비밀번호,메뉴,2. 메뉴 / 설정 화면 텍스트,0,,,,none,no_static_candidate,not_runtime_proven
7,パスワードを入力してください,Pasuwaado wo nyuuryoku shite kudasai,비밀번호를 입력하세요,메뉴,2. 메뉴 / 설정 화면 텍스트,0,,,,none,no_static_candidate,not_runtime_proven
8,ぼうけん,Bouken,모험,모드,2. 메뉴 / 설정 화면 텍스트,0,,,,none,no_static_candidate,not_runtime_proven
9,たいけつ,Taiketsu,대결,모드,2. 메뉴 / 설정 화면 텍스트,0,,,,none,no_static_candidate,not_runtime_proven
10,くにまさ,Kunimasa,쿠니마사,캐릭터명,3. 스테이터스 / UI 텍스트,0,,,,none,no_static_candidate,not_runtime_proven
11,つるまつ,Tsurumatsu,츠루마츠,캐릭터명,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
12,ライフ,Raifu,라이프,UI,3. 스테이터스 / UI 텍스트,2,0x0736A;0x0739D,22,top_known_hits,exact_source,static_candidate_known_bank1,not_runtime_proven
13,ちから,Chikara,힘,능력치,3. 스테이터스 / UI 텍스트,8,0x06605;0x066FB;0x06845;0x06B4A;0x071A4;0x17D61;0x17D69;0x17D81,42,top_known_hits;top_new_hits,exact_source,static_candidate_known_bank1,not_runtime_proven
14,うごき,Ugoki,움직임,능력치,3. 스테이터스 / UI 텍스트,3,0x02D68;0x0A207;0x17D18,36,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
15,ぼうぎょ,Bougyo,방어,능력치,3. 스테이터스 / UI 텍스트,0,,,,none,no_static_candidate,not_runtime_proven
16,レベル,Reberu,레벨,UI,3. 스테이터스 / UI 텍스트,1,0x1281B,33,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
17,けいけんち,Keikentchi,경험치,UI,3. 스테이터스 / UI 텍스트,0,,,,none,no_static_candidate,not_runtime_proven
