id	context	jp_offset	jp_text	en_offset	en_text	pointer_offset	terminator	max_width	status	confidence	notes
PTR-000	Bank 1 pointer-driven text	0x05FE7	<F0><BB><8A><8A><AD><00><94><85><AE><95><8D><B4><90><86><A7><96><AF><F8><F9><00><8C><B7><83><1C><8C><93><A3><A7><82><A4><8D><0E><CA><FF>	0x05FE6	<F0><BB><00>SO<00>FIGHT<00>ME<00>OR<00>I<00>AIN<B6>T<F8>LETTING<00>YOU<00>PASS<CA><FF>	0x05DD4	0x06012	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-001	Bank 1 pointer-driven text	0x06009	<F0><BB><A6><00><A6><AC><8D><07><A9><CB><FF>	0x06012	<F0><BB><00>HOLY<00>SHIT<CA><FF>	0x05DD6	0x06020	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-002	Bank 1 pointer-driven text	0x06014	<F0><BB><9F><90><00><81><82><8C><A4><8C><90><98><CD><FF>	0x06020	<F0><BB><00>AH<71>SO<CA><00>WE<00>MEET<00>AGAIN<BA><FF>	0x05DD8	0x06039	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-003	Bank 1 pointer-driven text	0x06022	<F0><BB><8F><85><82><A4><AF><00><A0><B7><83><95><9C><90><A8><08><A0><06><82><A4><8C><90><98><F8><F9><00><85><A2><B2><8B><AE><06><00><8B><06><8C><93><A9><A4><92><A7><96><00><91><09><B2><98><B2><A6><FF>	0x06039	<F0><BB><00>REMEMBER<00>THOSE<00>DUDES<CC><F8>THEY<B6>RE<00>THE<00>ONES<CA><FF>	0x05DDA	0x06064	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-004	Bank 1 pointer-driven text	0x06054	<F0><BB><85><A2><B2><8B><AE><06><90><00><A6><8F><A3><AE><99><88><8E><96><F8><F9><00><A2><B4><5E><83><00><92><84><B2><B4><93><9A><95><8C><0C><B5><98><B2><86><82><CC><FF>	0x06064	<F0><BB><00>HOW<00>DID<00>YOU<00>BEAT<F8>MY<00>BOYS<CC><FF>	0x05DDC	0x06081	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-005	Bank 1 pointer-driven text	0x0607E	<F0><BB><92><A6><88><98><B2><86><82><CC><FF>	0x06081	<F0><BB><00>YOU<00>FIGHT<00>LIKE<00>A<00>WUS<CA><FF>	0x05DDE	0x0609A	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-006	Bank 1 pointer-driven text	0x06089	<F0><BB><85><A0><8F><AA><8C><A4><8C><90><B4><00><95><86><9F><96><8C><93><85><88><AE><95><8E><B2><FF>	0x0609A	<F0><BB><00>PLEASE<00>LET<00>ME<00>JOIN<00>YOU<CA><FF>	0x05DE0	0x060B5	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-007	Bank 1 pointer-driven text	0x060A2	<F0><BB><A6><AC><88><98><B2><86><82><CC><FF>	0x060B5	<F0><BB><00>HE<00>AIN<B6>T<00>NOTHIN<B6><CB>	0x05DE2	no 0xFF before next target	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-008	Bank 1 pointer-driven text	0x060AD	<F0><BB><81><B4><8C><A3><92><AA><93><82><B4><93><85><88><AE><95><8B><82><A6><B3><CA><FF>	0x060C9	<FF><F0><BB><00>LET<00>ME<00>COME<00>TOO<CA><FF>	0x05DE4	0x060CA	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-009	Bank 1 pointer-driven text	0x060C3	<F0><BB><FA><8B><AE><13><CC><00><85><93><81><AC><8E><AD><CA><FF>	0x070EF	<F0><BB><00>OK<B9><00><FA><B9><00>LET<B6>S<00>FIGHT<CA><FF>	0x05DE6	0x07106	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
