# 쿠니오 시대극 한글패치 - 번역 데이터
# 형식: 일본어 원문 | 한글 번역 | 카테고리 | 비고

# ===== 1. 타이틀 / 메뉴 =====
ダウンタウンスペシャル | 다운타운 스페셜 | 타이틀
くにおくんの時代劇だよ全員集合！ | 쿠니오군의 시대극이다 전원집합! | 타이틀
1991 TECHNOS JAPAN | 1991 테크노스 재팬 | 타이틀
プッシュ スタート ボタン | START 버튼 | 타이틀

# ===== 2. 메뉴 =====
ゲームスタート | 게임 시작 | 메뉴
パスワード | 비밀번호 | 메뉴
パスワードを入力してください | 비밀번호를 입력하세요 | 메뉴
ぼうけん | 모험 | 모드
たいけつ | 대결 | 모드

# ===== 3. 스테이터스 / UI =====
くにまさ | 쿠니마사 | 캐릭터명 | 기본 이름(쿠니오)
つるまつ | 츠루마츠 | 캐릭터명 | 파트너
ライフ | 라이프 | UI
ちから | 힘 | 능력치
うごき | 움직임 | 능력치
ぼうぎょ | 방어 | 능력치
レベル | 레벨 | UI
けいけんち | 경험치 | UI
おかね | 돈 | UI
もちもの | 소지품 | UI
そうび | 장비 | UI
たべる | 먹다 | UI
すてる | 버리다 | UI

# ===== 4. 무기 / 장비 =====
こんぼう | 몽둥이 | 무기
どうのこんぼう | 구리 몽둥이 | 무기
てつのこんぼう | 쇠 몽둥이 | 무기
はがねのこんぼう | 강철 몽둥이 | 무기
カタナ | 카타나 | 무기
どうのカタナ | 구리 검 | 무기
てつのカタナ | 쇠 검 | 무기
はがねのカタナ | 강철 검 | 무기
やり | 창 | 무기
どうのやり | 구리 창 | 무기
てつのやり | 쇠 창 | 무기
はがねのやり | 강철 창 | 무기
チェーン | 체인 | 무기
ヌンチャク | 쌍절곤 | 무기
トンファー | 톤파 | 무기
どうのよろい | 구리 갑옷 | 방어구
てつのよろい | 쇠 갑옷 | 방어구
はがねのよろい | 강철 갑옷 | 방어구
どうのたいぼう | 구리 방패 | 방어구
てつのたいぼう | 쇠 방패 | 방어구
はがねのたいぼう | 강철 방패 | 방어구

# ===== 5. 회복 / 보조 아이템 =====
くすり | 약 | 회복
いいくすり | 좋은 약 | 회복
すごいくすり | 굉장한 약 | 회복
きのくすり | 기의 약 | 회복
どくけしくすり | 해독약 | 회복
やきいも | 군고구마 | 회복
おにぎり | 주먹밥 | 회복
すけすけのたび | 투시의 옷 | 특수
たつじんめがね | 달인의 안경 | 특수
こうかが2ばい | 효과 2배 | 특수
UPが2ばい | UP 2배 | 특수
みかわしのたび | 회피의 옷 | 특수
ふういんのふだ | 봉인의 부적 | 특수
きんのたま | 황금 구슬 | 특수
ぎんのたま | 은 구슬 | 특수
あかいたま | 빨간 구슬 | 특수
あおいたま | 파란 구슬 | 특수
でんせつのどうぐ | 전설의 도구 | 특수
なぞのみせ | 수수께끼 가게 | 특수
ふくびき | 제비뽑기 | 특수
たからのちず | 보물 지도 | 특수

# ===== 6. 필살기 / 기술 =====
まっはぱんち | 마하 펀치 | 기술
まっはきっく | 마하 킥 | 기술
まっはたたき | 마하 때리기 | 기술
まっはすいんぐ | 마하 스윙 | 기술
まっはふみふみ | 마하 밟기 | 기술
すくりゅう | 스크류 | 기술
にとろあたっく | 니트로 어택 | 기술
はいぱーがーど | 하이퍼 가드 | 기술
せんぷうきゃく | 선풍각 | 기술
わーぷしゅーと | 워프 슛 | 기술
にんげんどりる | 인간 드릴 | 기술
にんげんへり | 인간 헬기 | 기술
にんげんぎょらい | 인간 어뢰 | 기술
じぶんぎょらい | 자폭 어뢰 | 기술
まっはぱんちII | 마하 펀치 2 | 기술
まっはきっくII | 마하 킥 2 | 기술
すくりゅうII | 스크류 2 | 기술
